Cde_Opération;Opération;Cde_Dépense;Dépense;Cde_Pays;Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OTE;Total des dépenses des administrations publiques (*);GF0303;03.3 - Tribunaux;FRA;France;3,073;3,120;3,140;3,103;3,199;3,296;3,583;3,877;4,009;4,141;4,152;4,176;4,307;4,672;4,900;5,013;4,962;5,185;5,148;5,334;5,574;5,953;5,938;6,052;6,289;6,363;6,921;7,438;8,068;8,295
OTE;Total des dépenses des administrations publiques (*);GF0304;03.4 - Administration pénitentiaire;FRA;France;1,596;1,611;1,607;1,632;1,686;1,704;1,876;2,011;2,077;2,127;2,139;2,145;2,214;2,384;2,493;2,920;2,875;3,023;3,136;3,172;3,318;3,309;3,476;3,552;3,769;3,933;4,214;4,650;4,930;5,120
OTE;Total des dépenses des administrations publiques (*);GF0305;03.5 - R-D concernant l'ordre et la sécurité publics;FRA;France;0,003;0,009;0,009;0,009;0,009;0,010;0,010;0,012;0,011;0,010;0,010;0,010;0,010;0,011;0,012;0,018;0,019;0,019;0,018;0,018;0,017;0,013;0,013;0,014;0,016;0,012;0,000;0,000;0,000;0,000
OTE;Total des dépenses des administrations publiques (*);GF0306;03.6 - Ordre et sécurité publics n.c.a.;FRA;France;0,374;0,393;0,386;0,400;0,409;0,433;0,484;0,518;0,531;0,540;0,552;0,564;0,582;0,634;0,679;0,719;0,723;0,722;0,762;0,742;0,829;0,908;0,983;0,991;1,017;1,515;1,612;1,735;1,920;1,865
OTE;Total des dépenses des administrations publiques (*);GF04;04 - Affaires économiques;FRA;France;77,799;76,885;73,484;73,592;73,261;74,550;72,408;78,219;82,109;85,079;90,788;91,706;97,222;100,350;102,505;107,066;106,157;112,957;128,007;133,007;136,666;132,826;149,243;141,295;129,806;162,270;177,419;179,789;177,620;166,073
OTE;Total des dépenses des administrations publiques (*);GF0401;04.1 - Tutelle de l'économie générale, des échanges et de l'emploi;FRA;France;15,374;15,121;14,491;14,858;15,146;12,957;14,109;14,537;15,650;15,448;16,069;16,002;18,624;18,257;19,529;22,469;19,232;22,843;34,133;41,731;44,217;42,679;47,746;43,814;27,154;55,783;66,688;43,802;43,966;45,257
OTE;Total des dépenses des administrations publiques (*);GF0402;04.2 - Agriculture, sylviculture, pêche et chasse;FRA;France;6,173;6,523;6,283;6,166;6,264;6,287;5,590;6,132;5,786;6,808;7,037;7,428;7,390;7,501;7,830;8,217;7,664;4,284;4,052;4,450;5,468;4,820;5,014;5,201;5,116;5,098;5,923;7,016;6,789;6,199
OTE;Total des dépenses des administrations publiques (*);GF0403;04.3 - Combustibles et énergie;FRA;France;4,349;3,832;3,560;3,782;3,916;3,970;4,228;4,841;4,997;4,400;4,691;4,757;4,978;4,621;4,838;5,193;6,658;9,080;9,992;9,132;9,384;9,761;10,224;10,100;11,038;12,458;9,831;32,600;27,051;15,461
OTE;Total des dépenses des administrations publiques (*);GF0404;04.4 - Industries extractives et manufacturières, construction;FRA;France;0,530;0,560;0,511;0,524;0,541;0,508;0,532;0,518;0,524;0,522;0,542;0,551;0,555;0,557;0,644;0,702;0,533;0,723;0,556;0,469;0,353;0,618;0,909;0,766;0,466;0,776;0,754;1,239;2,724;1,625
OTE;Total des dépenses des administrations publiques (*);GF0405;04.5 - Transports;FRA;France;35,427;33,759;32,604;32,341;30,943;33,722;30,137;33,046;36,471;38,178;41,070;41,068;42,723;44,739;44,025;44,190;46,304;47,259;52,835;51,981;51,664;49,197;52,338;53,736;57,258;57,740;61,625;62,136;61,710;60,689
OTE;Total des dépenses des administrations publiques (*);GF0406;04.6 - Communications;FRA;France;0,366;0,379;0,313;0,324;0,342;0,277;0,282;0,242;0,232;0,202;0,203;0,187;0,169;0,146;0,239;0,288;0,382;1,578;1,265;0,176;0,264;0,312;0,402;0,472;0,552;0,674;1,043;1,718;1,603;1,621
OTE;Total des dépenses des administrations publiques (*);GF0407;04.7 - Autres branches d'activité;FRA;France;4,527;5,040;4,595;4,565;4,364;4,915;4,411;4,640;4,819;5,083;5,401;5,561;7,000;7,530;8,040;8,246;7,120;7,206;7,205;7,356;6,960;7,509;8,201;8,361;9,065;9,479;9,646;9,683;10,637;11,183
OTE;Total des dépenses des administrations publiques (*);GF0408;04.8 - R-D concernant les affaires économiques;FRA;France;9,986;10,523;10,016;9,919;10,646;10,783;11,969;13,044;12,369;13,073;14,301;14,604;14,199;15,412;15,797;16,061;16,551;15,979;16,087;15,837;16,360;16,051;16,805;16,948;17,290;18,184;19,526;19,464;20,553;21,429
OTE;Total des dépenses des administrations publiques (*);GF0409;04.9 - Affaires économiques n.c.a.;FRA;France;1,068;1,147;1,111;1,113;1,099;1,131;1,151;1,219;1,261;1,366;1,473;1,550;1,584;1,587;1,565;1,700;1,714;4,004;1,882;1,876;1,996;1,879;7,604;1,897;1,866;2,081;2,383;2,133;2,588;2,609
OTE;Total des dépenses des administrations publiques (*);GF05;05 - Protection de l'environnement;FRA;France;6,824;7,144;7,844;8,023;8,464;9,785;10,856;11,282;12,347;13,352;14,274;15,428;15,813;16,692;17,977;18,860;19,232;19,632;20,302;20,629;20,687;19,897;20,290;21,484;23,012;22,747;24,570;27,163;28,936;30,285
