Cde_Opération;Opération;Cde_Dépense;Dépense;Cde_Pays;Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
P2;Consommation intermédiaire;GF0407;04.7 - Autres branches d'activité;FRA;France;0,895;1,212;1,101;1,067;1,030;1,116;0,964;1,011;1,063;1,094;1,163;1,259;1,271;1,315;1,451;1,496;0,943;0,954;1,006;1,060;1,075;1,492;1,650;1,737;1,786;1,674;1,725;1,839;1,918;2,029
P2;Consommation intermédiaire;GF0408;04.8 - R-D concernant les affaires économiques;FRA;France;2,021;2,046;2,060;2,084;2,332;2,268;2,727;2,782;2,686;2,539;2,562;2,466;2,502;2,682;3,287;3,117;3,304;3,028;3,059;3,025;3,059;3,120;3,265;3,295;3,444;3,436;3,687;3,826;3,999;4,454
P2;Consommation intermédiaire;GF0409;04.9 - Affaires économiques n.c.a.;FRA;France;0,365;0,400;0,344;0,364;0,348;0,352;0,381;0,372;0,378;0,360;0,352;0,371;0,383;0,410;0,428;0,423;0,476;0,449;0,443;0,438;0,554;0,539;0,557;0,565;0,564;0,527;0,575;0,617;0,692;0,509
P2;Consommation intermédiaire;GF05;05 - Protection de l'environnement;FRA;France;3,131;3,332;3,629;3,860;3,766;4,533;4,408;5,074;5,884;6,151;6,065;6,554;6,572;6,778;7,197;7,711;7,841;8,205;8,311;8,531;8,522;8,172;8,312;8,809;8,911;9,020;9,809;10,611;11,548;11,970
P2;Consommation intermédiaire;GF0501;05.1 - Gestion des déchets;FRA;France;2,061;2,273;2,478;2,729;2,578;2,967;2,850;3,583;4,081;4,435;4,536;4,865;4,912;5,084;5,405;5,852;6,016;6,343;6,434;6,683;6,633;6,273;6,374;6,753;6,785;6,897;7,470;8,031;8,719;8,999
P2;Consommation intermédiaire;GF0502;05.2 - Gestion des eaux usées;FRA;France;0,331;0,364;0,397;0,438;0,413;0,476;0,456;0,575;0,655;0,711;0,727;0,780;0,787;0,815;0,866;0,926;0,934;0,977;1,007;1,031;1,049;1,064;1,114;1,195;1,229;1,271;1,348;1,446;1,561;1,587
P2;Consommation intermédiaire;GF0503;05.3 - Lutte contre la pollution;FRA;France;0,072;0,076;0,083;0,088;0,085;0,104;0,101;0,114;0,132;0,137;0,132;0,144;0,144;0,148;0,156;0,166;0,164;0,174;0,161;0,147;0,150;0,171;0,163;0,166;0,172;0,183;0,262;0,296;0,366;0,444
P2;Consommation intermédiaire;GF0504;05.4 - Préservation de la diversité biologique et protection de la nature;FRA;France;0,149;0,153;0,160;0,165;0,174;0,211;0,209;0,239;0,245;0,252;0,248;0,264;0,265;0,284;0,317;0,353;0,402;0,409;0,406;0,400;0,389;0,374;0,394;0,414;0,432;0,424;0,456;0,498;0,499;0,441
P2;Consommation intermédiaire;GF0505;05.5 - R-D dans le domaine de la protection de l'environnement;FRA;France;0,022;0,020;0,019;0,018;0,023;0,029;0,031;0,037;0,023;0,025;0,025;0,025;0,025;0,032;0,043;0,046;0,049;0,046;0,046;0,041;0,071;0,077;0,081;0,087;0,091;0,069;0,093;0,138;0,201;0,306
P2;Consommation intermédiaire;GF0506;05.6 - Protection de l'environnement n.c.a.;FRA;France;0,496;0,446;0,492;0,422;0,493;0,747;0,762;0,526;0,748;0,591;0,397;0,477;0,439;0,415;0,409;0,368;0,276;0,257;0,258;0,230;0,230;0,213;0,186;0,195;0,202;0,176;0,181;0,202;0,203;0,194
P2;Consommation intermédiaire;GF06;06 - Logements et équipements collectifs;FRA;France;2,523;2,762;2,887;2,859;3,282;3,973;3,522;3,931;4,018;4,145;3,972;4,245;4,255;4,411;4,586;4,706;4,880;4,903;4,967;4,795;4,717;4,647;4,819;5,037;5,222;5,053;5,549;6,150;6,889;7,825
P2;Consommation intermédiaire;GF0601;06.1 - Logements;FRA;France;0,260;0,282;0,305;0,279;0,329;0,385;0,398;0,431;0,454;0,474;0,468;0,496;0,503;0,515;0,554;0,539;0,594;0,551;0,578;0,551;0,513;0,496;0,537;0,585;0,604;0,585;0,660;0,658;0,777;0,861
P2;Consommation intermédiaire;GF0602;06.2 - Équipements collectifs;FRA;France;1,719;1,880;1,926;2,021;2,274;2,763;2,279;2,560;2,550;2,598;2,484;2,627;2,621;2,740;2,825;2,910;2,930;2,909;2,929;2,708;2,638;2,631;2,721;2,827;2,970;2,802;3,156;3,623;4,154;5,072
P2;Consommation intermédiaire;GF0603;06.3 - Alimentation en eau;FRA;France;0,230;0,253;0,277;0,236;0,287;0,348;0,356;0,396;0,428;0,452;0,431;0,473;0,477;0,487;0,508;0,533;0,560;0,616;0,624;0,672;0,685;0,646;0,672;0,717;0,734;0,749;0,790;0,852;0,901;0,838
P2;Consommation intermédiaire;GF0604;06.4 - Éclairage public;FRA;France;0,303;0,334;0,365;0,311;0,377;0,459;0,470;0,522;0,564;0,597;0,568;0,624;0,631;0,643;0,671;0,700;0,765;0,794;0,804;0,831;0,848;0,815;0,825;0,830;0,833;0,824;0,839;0,912;0,904;0,844
P2;Consommation intermédiaire;GF0605;06.5 - R-D dans le domaine du logement et des équipements collectifs;FRA;France;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,002;0,000;0,003;0,003;0,000;0,000;0,000;0,000;0,000;0,000;;;;;;
P2;Consommation intermédiaire;GF0606;06.6 - Logement et équipements collectifs n.c.a.;FRA;France;0,011;0,013;0,014;0,012;0,015;0,018;0,020;0,021;0,022;0,023;0,022;0,024;0,024;0,025;0,026;0,024;0,028;0,031;0,032;0,032;0,033;0,059;0,064;0,078;0,081;0,093;0,104;0,105;0,152;0,209
P2;Consommation intermédiaire;GF07;07 - Santé;FRA;France;7,922;8,383;8,476;8,670;8,858;9,027;9,554;11,641;11,910;12,907;13,650;13,926;14,705;14,564;16,342;16,885;17,718;18,210;18,635;19,160;19,464;20,233;20,847;21,468;22,760;26,400;27,404;28,200;32,256;33,568
P2;Consommation intermédiaire;GF0701;07.1 - Produits, appareils et matériels médicaux;FRA;France;0,008;0,009;0,010;0,010;0,010;0,011;0,011;0,012;0,013;0,013;0,013;0,015;0,015;0,015;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;;;
P2;Consommation intermédiaire;GF0703;07.3 - Services hospitaliers;FRA;France;7,383;7,816;7,863;8,037;8,195;8,307;8,795;9,570;10,282;11,130;11,307;11,938;12,713;12,924;14,035;14,627;15,394;16,194;16,573;17,209;17,421;18,189;18,885;19,494;20,635;21,668;23,801;25,502;28,942;30,808
P2;Consommation intermédiaire;GF0704;07.4 - Services de santé publique;FRA;France;0,203;0,217;0,239;0,246;0,262;0,292;0,306;1,548;1,065;1,161;1,677;1,279;1,256;0,860;1,486;1,453;1,518;1,216;1,245;1,142;1,214;1,215;1,115;1,126;1,248;3,610;2,568;1,646;2,195;1,582
P2;Consommation intermédiaire;GF0705;07.5 - R-D dans le domaine de la santé;FRA;France;0,280;0,290;0,309;0,325;0,339;0,359;0,387;0,429;0,469;0,520;0,568;0,606;0,633;0,682;0,740;0,739;0,743;0,737;0,753;0,746;0,773;0,773;0,792;0,794;0,820;0,787;0,927;0,977;1,035;1,083
P2;Consommation intermédiaire;GF0706;07.6 - Santé n.c.a.;FRA;France;0,049;0,051;0,055;0,052;0,052;0,057;0,055;0,082;0,081;0,084;0,086;0,088;0,088;0,083;0,081;0,067;0,064;0,063;0,064;0,063;0,056;0,056;0,054;0,054;0,057;0,335;0,109;0,075;0,085;0,096
P2;Consommation intermédiaire;GF08;08 - Loisirs, culture et culte;FRA;France;3,414;3,608;4,133;4,328;4,468;4,842;5,095;5,563;5,831;5,843;6,082;6,400;6,486;6,557;7,067;7,291;7,529;7,475;7,696;7,670;7,672;7,773;8,034;8,192;8,338;7,258;8,077;9,233;10,299;10,592
P2;Consommation intermédiaire;GF0801;08.1 - Services récréatifs et sportifs;FRA;France;0,893;0,964;1,234;1,295;1,279;1,440;1,517;1,759;1,883;1,931;1,993;2,139;2,161;2,202;2,361;2,532;2,583;2,605;2,722;2,673;2,638;2,648;2,728;2,794;2,863;2,472;2,716;3,258;3,669;3,599
P2;Consommation intermédiaire;GF0802;08.2 - Services culturels;FRA;France;0,960;1,016;1,216;1,271;1,296;1,443;1,531;1,746;1,873;1,889;1,973;2,084;2,122;2,202;2,401;2,491;2,591;2,628;2,677;2,645;2,621;2,571;2,688;2,787;2,879;2,298;2,666;3,210;3,633;3,651
P2;Consommation intermédiaire;GF0803;08.3 - Services de radiodiffusion, de télévision et d'édition;FRA;France;1,545;1,610;1,661;1,739;1,871;1,934;2,020;2,025;2,042;1,987;2,080;2,139;2,164;2,114;2,260;2,219;2,302;2,184;2,235;2,291;2,352;2,493;2,554;2,546;2,531;2,429;2,631;2,691;2,894;3,217
P2;Consommation intermédiaire;GF0804;08.4 - Culte et autres services communautaires;FRA;France;0,017;0,018;0,023;0,023;0,023;0,026;0,028;0,032;0,033;0,035;0,036;0,039;0,039;0,039;0,043;0,049;0,051;0,055;0,060;0,059;0,059;0,058;0,060;0,062;0,064;0,056;0,061;0,069;0,093;0,101
P2;Consommation intermédiaire;GF0806;08.6 - Loisirs, culture et culte n.c.a.;FRA;France;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,002;0,002;0,003;0,003;0,002;0,002;0,004;0,003;0,003;0,004;0,003;0,002;0,003;0,005;0,010;0,025
P2;Consommation intermédiaire;GF09;09 - Enseignement;FRA;France;6,440;5,997;6,468;6,217;6,452;7,120;6,853;7,987;8,146;8,147;8,480;8,848;8,834;9,229;9,939;10,348;10,251;10,366;10,405;10,270;10,403;10,342;10,503;10,493;10,733;9,218;10,595;11,874;13,900;13,820
P2;Consommation intermédiaire;GF0901;09.1 - Enseignement préélémentaire et primaire;FRA;France;1,137;1,040;1,126;1,076;1,115;1,204;1,132;1,330;1,400;1,415;1,457;1,547;1,562;1,598;1,701;1,784;1,795;1,606;1,910;1,875;1,883;1,883;1,936;1,935;1,950;1,789;1,986;2,187;2,466;2,511
P2;Consommation intermédiaire;GF0902;09.2 - Enseignement secondaire;FRA;France;2,575;2,346;2,576;2,461;2,560;2,789;2,594;3,068;3,251;3,279;3,393;3,629;3,665;3,750;4,007;4,141;4,229;4,608;4,317;4,189;4,242;4,344;4,426;4,331;4,435;3,577;3,957;4,592;5,608;5,670
P2;Consommation intermédiaire;GF0903;09.3 - Enseignement postsecondaire non supérieur;FRA;France;0,112;0,107;0,118;0,114;0,119;0,132;0,125;0,144;0,152;0,152;0,159;0,169;0,170;0,175;0,194;0,196;0,211;0,187;0,181;0,176;0,200;0,205;0,187;0,190;0,198;0,166;0,210;0,286;0,326;0,413
P2;Consommation intermédiaire;GF0904;09.4 - Enseignement supérieur;FRA;France;0,766;0,852;0,926;0,907;0,952;1,061;1,099;1,173;1,203;1,193;1,280;1,268;1,255;1,370;1,656;1,640;1,668;1,537;1,531;1,470;1,512;1,489;1,518;1,558;1,631;1,506;1,674;1,925;2,271;1,952
P2;Consommation intermédiaire;GF0905;09.5 - Enseignement non défini par niveau;FRA;France;0,292;0,191;0,240;0,239;0,262;0,434;0,436;0,606;0,437;0,388;0,441;0,472;0,411;0,533;0,464;0,504;0,248;0,239;0,226;0,226;0,191;0,161;0,169;0,189;0,185;0,214;0,293;0,376;0,455;0,382
P2;Consommation intermédiaire;GF0906;09.6 - Services annexes à l'enseignement;FRA;France;1,558;1,461;1,480;1,420;1,443;1,498;1,467;1,665;1,702;1,720;1,749;1,761;1,770;1,803;1,917;2,079;2,094;2,183;2,234;2,328;2,366;2,252;2,261;2,284;2,328;1,963;2,471;2,505;2,768;2,886
P2;Consommation intermédiaire;GF0907;09.7 - R-D dans le domaine de l'enseignement;FRA;France;0,000;0,000;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,003;0,005;0,005;0,006;0,007;0,009;0,008;0,003;0,003;0,003;0,002;0,002;0,001;0,002;
P2;Consommation intermédiaire;GF0908;09.8 - Enseignement n.c.a.;FRA;France;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,001;0,002;0,001;0,001;0,001;0,001;0,002;0,003;0,003;0,002;0,003;0,003;0,005;0,007
P2;Consommation intermédiaire;GF10;10 - Protection sociale;FRA;France;8,270;8,539;8,019;7,827;7,956;8,653;8,583;9,005;9,149;10,427;10,398;10,291;10,621;10,984;10,488;10,658;10,884;11,635;11,384;10,849;11,008;10,402;10,807;10,921;10,866;10,343;11,066;11,583;12,144;11,277
P2;Consommation intermédiaire;GF1001;10.1 - Maladie et invalidité;FRA;France;2,008;1,763;1,688;1,740;1,946;1,886;1,718;1,695;1,518;1,613;1,673;1,265;1,436;1,487;1,363;1,365;1,429;1,611;1,453;1,117;1,069;0,953;0,975;1,086;0,956;0,870;0,988;1,129;1,082;1,208
P2;Consommation intermédiaire;GF1002;10.2 - Vieillesse;FRA;France;3,443;3,599;3,227;3,309;3,213;3,193;3,275;3,446;3,758;4,342;4,447;4,799;4,939;4,996;5,107;5,363;5,400;5,854;5,781;5,397;5,547;5,321;5,611;5,538;5,519;5,275;5,610;5,702;6,007;4,892
P2;Consommation intermédiaire;GF1003;10.3 - Survivants;FRA;France;0,020;0,023;0,024;0,018;0,020;0,026;0,027;0,029;0,027;0,027;0,026;0,027;0,019;0,021;0,013;0,013;0,013;0,015;0,011;0,013;0,013;0,015;0,015;0,017;0,018;0,012;0,015;0,016;0,021;0,021
P2;Consommation intermédiaire;GF1004;10.4 - Famille et enfants;FRA;France;1,206;1,398;1,291;1,199;1,167;1,682;1,677;1,800;1,750;2,165;2,000;1,642;1,590;1,718;1,259;1,301;1,340;1,352;1,347;1,495;1,453;1,112;1,154;1,184;1,200;1,149;1,272;1,361;1,458;1,500
P2;Consommation intermédiaire;GF1005;10.5 - Chômage;FRA;France;0,557;0,538;0,518;0,498;0,513;0,523;0,541;0,589;0,635;0,700;0,714;0,808;0,765;0,788;1,024;1,035;0,943;0,983;0,944;0,942;1,093;1,087;1,033;1,025;0,995;0,992;1,009;1,000;1,005;1,068
P2;Consommation intermédiaire;GF1006;10.6 - Logement;FRA;France;0,307;0,416;0,430;0,265;0,298;0,416;0,459;0,465;0,440;0,497;0,437;0,420;0,428;0,470;0,280;0,266;0,307;0,319;0,342;0,359;0,419;0,532;0,489;0,510;0,513;0,494;0,502;0,522;0,554;0,551
P2;Consommation intermédiaire;GF1007;10.7 - Exclusion sociale n.c.a.;FRA;France;0,214;0,249;0,251;0,200;0,189;0,249;0,247;0,258;0,253;0,272;0,265;0,424;0,529;0,548;0,435;0,366;0,492;0,503;0,469;0,481;0,405;0,375;0,502;0,535;0,653;0,590;0,689;0,791;0,919;1,010
P2;Consommation intermédiaire;GF1009;10.9 - Protection sociale n.c.a.;FRA;France;0,516;0,552;0,592;0,598;0,610;0,678;0,641;0,724;0,768;0,813;0,835;0,906;0,915;0,956;1,006;0,949;0,960;0,999;1,037;1,046;1,009;1,006;1,027;1,026;1,012;0,962;0,982;1,063;1,099;1,027
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF01;01 - Services généraux des administrations publiques;FRA;France;0,748;0,853;0,849;0,838;0,922;0,851;0,904;0,699;0,799;0,917;0,673;0,760;0,829;0,877;0,876;0,877;0,899;0,916;0,943;0,992;1,003;0,998;0,996;1,032;1,041;1,077;1,105;1,179;1,294;1,440
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0101;01.1 - Fonctionnement des organes exécutifs et législatifs, affaires financières et fiscales, affaires étrangères;FRA;France;0,103;0,108;0,117;0,122;0,150;0,139;0,151;0,125;0,130;0,137;0,169;0,172;0,186;0,195;0,188;0,189;0,197;0,199;0,224;0,230;0,226;0,224;0,218;0,219;0,219;0,240;0,243;0,251;0,266;0,266
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0102;01.2 - Aide économique extérieure;FRA;France;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,002;0,002;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0103;01.3 - Services généraux;FRA;France;0,231;0,287;0,297;0,262;0,424;0,356;0,365;0,226;0,298;0,381;0,437;0,415;0,456;0,477;0,482;0,489;0,489;0,507;0,520;0,548;0,572;0,584;0,602;0,613;0,620;0,630;0,647;0,705;0,794;0,926
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0104;01.4 - Recherche fondamentale;FRA;France;0,411;0,455;0,432;0,451;0,345;0,354;0,385;0,345;0,368;0,396;0,067;0,174;0,186;0,203;0,203;0,197;0,208;0,206;0,194;0,209;0,201;0,186;0,172;0,196;0,198;0,203;0,211;0,219;0,230;0,244
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0106;01.6 - Services généraux des administrations publiques n.c.a.;FRA;France;0,003;0,003;0,003;0,003;0,003;0,003;0,003;0,003;0,003;0,003;0,000;0,000;0,000;0,000;0,001;0,001;0,004;0,003;0,005;0,005;0,004;0,003;0,003;0,003;0,003;0,003;0,003;0,004;0,003;0,003
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF02;02 - Défense;FRA;France;0,165;0,158;0,134;0,136;0,106;0,110;0,125;0,145;0,086;0,115;0,117;0,192;0,252;0,208;0,226;0,203;0,221;0,250;0,226;0,220;0,223;0,214;0,219;0,195;0,216;0,192;0,186;0,211;0,229;0,246
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0201;02.1 - Défense militaire;FRA;France;0,141;0,135;0,113;0,115;0,088;0,091;0,104;0,123;0,070;0,095;0,100;0,168;0,223;0,181;0,200;0,178;0,193;0,223;0,199;0,188;0,199;0,189;0,193;0,168;0,189;0,165;0,164;0,188;0,205;0,216
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0202;02.2 - Défense civile;FRA;France;0,002;0,002;0,002;0,002;0,002;0,002;0,002;0,002;0,000;0,002;0,002;0,002;0,002;0,002;0,001;0,002;0,001;0,001;0,002;0,001;0,001;0,002;0,002;0,002;0,002;0,002;0,002;0,002;0,002;0,002
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0203;02.3 - Aide militaire à des pays étrangers;FRA;France;0,002;0,002;0,002;0,002;0,002;0,002;0,002;0,002;0,002;0,002;0,002;0,001;0,003;0,002;0,002;0,001;0,002;0,001;0,001;0,001;0,001;0,001;0,002;0,002;0,001;0,002;0,000;0,000;0,000;0,000
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0204;02.4 - R-D concernant la défense;FRA;France;0,015;0,015;0,013;0,013;0,012;0,011;0,013;0,014;0,011;0,013;0,011;0,016;0,017;0,017;0,016;0,015;0,015;0,015;0,015;0,015;0,007;0,007;0,005;0,005;0,005;0,006;0,004;0,004;0,005;0,004
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0205;02.5 - Défense n.c.a.;FRA;France;0,006;0,005;0,005;0,005;0,002;0,004;0,005;0,005;0,004;0,004;0,004;0,005;0,007;0,006;0,007;0,007;0,009;0,009;0,009;0,014;0,014;0,016;0,017;0,018;0,019;0,018;0,016;0,017;0,017;0,024
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF03;03 - Ordre et sécurité publics;FRA;France;0,047;0,053;0,058;0,059;0,084;0,078;0,081;0,086;0,100;0,107;0,118;0,120;0,148;0,187;0,190;0,193;0,206;0,212;0,225;0,232;0,243;0,258;0,274;0,282;0,289;0,295;0,297;0,304;0,328;0,356
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0301;03.1 - Services de police;FRA;France;0,030;0,035;0,038;0,038;0,056;0,053;0,054;0,058;0,066;0,069;0,077;0,077;0,096;0,123;0,121;0,123;0,130;0,130;0,136;0,139;0,146;0,153;0,161;0,165;0,167;0,166;0,164;0,167;0,181;0,194
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0302;03.2 - Services de protection civile;FRA;France;0,005;0,005;0,005;0,005;0,005;0,004;0,004;0,005;0,009;0,011;0,010;0,012;0,013;0,015;0,020;0,020;0,023;0,024;0,027;0,029;0,030;0,033;0,035;0,036;0,037;0,039;0,041;0,041;0,043;0,052
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0303;03.3 - Tribunaux;FRA;France;0,007;0,008;0,009;0,010;0,014;0,013;0,013;0,014;0,015;0,017;0,019;0,019;0,024;0,030;0,030;0,031;0,033;0,034;0,036;0,037;0,038;0,040;0,043;0,044;0,046;0,047;0,048;0,050;0,055;0,058
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0304;03.4 - Administration pénitentiaire;FRA;France;0,004;0,004;0,005;0,005;0,008;0,006;0,007;0,007;0,008;0,008;0,010;0,009;0,012;0,015;0,015;0,015;0,016;0,017;0,018;0,019;0,020;0,022;0,023;0,023;0,024;0,025;0,026;0,027;0,029;0,032
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0305;03.5 - R-D concernant l'ordre et la sécurité publics;FRA;France;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0306;03.6 - Ordre et sécurité publics n.c.a.;FRA;France;0,001;0,001;0,001;0,001;0,002;0,002;0,002;0,002;0,002;0,002;0,002;0,002;0,003;0,005;0,004;0,004;0,004;0,006;0,008;0,008;0,009;0,011;0,012;0,014;0,014;0,017;0,019;0,019;0,020;0,021
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF04;04 - Affaires économiques;FRA;France;0,458;0,525;0,551;0,357;0,425;0,440;0,487;0,614;0,773;0,691;0,494;0,639;0,668;0,670;0,760;0,883;0,901;0,888;1,005;1,060;1,099;1,142;1,085;1,178;1,168;1,165;1,120;1,203;1,200;1,266
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0401;04.1 - Tutelle de l'économie générale, des échanges et de l'emploi;FRA;France;0,044;0,049;0,052;0,039;0,042;0,045;0,051;0,054;0,064;0,060;0,044;0,047;0,055;0,054;0,060;0,066;0,070;0,221;0,250;0,251;0,241;0,212;0,195;0,216;0,206;0,197;0,193;0,206;0,199;0,169
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0402;04.2 - Agriculture, sylviculture, pêche et chasse;FRA;France;0,124;0,151;0,156;0,074;0,106;0,107;0,112;0,203;0,288;0,235;0,177;0,205;0,230;0,247;0,265;0,266;0,265;0,091;0,095;0,102;0,100;0,099;0,097;0,100;0,101;0,101;0,101;0,104;0,103;0,094
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0403;04.3 - Combustibles et énergie;FRA;France;0,012;0,014;0,014;0,010;0,011;0,012;0,013;0,015;0,018;0,017;0,011;0,013;0,014;0,015;0,017;0,019;0,019;0,024;0,026;0,028;0,029;0,027;0,029;0,030;0,028;0,029;0,029;0,052;0,054;0,054
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0404;04.4 - Industries extractives et manufacturières, construction;FRA;France;0,020;0,022;0,023;0,018;0,020;0,020;0,023;0,021;0,025;0,025;0,017;0,019;0,021;0,020;0,023;0,016;0,013;0,014;0,012;0,013;0,013;0,013;0,012;0,013;0,012;0,011;0,010;0,010;0,010;0,012
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0405;04.5 - Transports;FRA;France;0,046;0,053;0,055;0,033;0,044;0,044;0,044;0,068;0,094;0,077;0,073;0,167;0,127;0,122;0,134;0,228;0,234;0,248;0,329;0,326;0,378;0,452;0,440;0,480;0,483;0,483;0,449;0,479;0,475;0,525
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0406;04.6 - Communications;FRA;France;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,001;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,001;0,001;0,000
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0407;04.7 - Autres branches d'activité;FRA;France;0,041;0,049;0,051;0,029;0,037;0,037;0,038;0,063;0,087;0,072;0,055;0,064;0,072;0,076;0,081;0,081;0,067;0,067;0,072;0,081;0,082;0,091;0,092;0,096;0,100;0,098;0,094;0,102;0,100;0,120
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0408;04.8 - R-D concernant les affaires économiques;FRA;France;0,150;0,163;0,175;0,133;0,144;0,154;0,182;0,167;0,169;0,177;0,098;0,104;0,125;0,113;0,154;0,181;0,202;0,189;0,182;0,221;0,216;0,210;0,190;0,207;0,200;0,211;0,207;0,214;0,219;0,260
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0409;04.9 - Affaires économiques n.c.a.;FRA;France;0,022;0,024;0,026;0,021;0,022;0,023;0,026;0,024;0,028;0,027;0,019;0,020;0,023;0,023;0,028;0,026;0,031;0,033;0,038;0,040;0,039;0,037;0,032;0,037;0,037;0,036;0,036;0,036;0,038;0,032
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF05;05 - Protection de l'environnement;FRA;France;0,074;0,089;0,089;0,037;0,051;0,055;0,056;0,049;0,070;0,082;0,081;0,092;0,097;0,114;0,163;0,174;0,189;0,215;0,228;0,259;0,270;0,269;0,258;0,256;0,253;0,275;0,272;0,321;0,346;0,381
OED;Autres impôts sur la production + impôts courants sur le revenu, le patrimoine, etc, + ajustement pour variations des droits à pension;GF0501;05.1 - Gestion des déchets;FRA;France;0,038;0,047;0,049;0,009;0,021;0,024;0,021;0,018;0,032;0,039;0,045;0,049;0,054;0,065;0,098;0,106;0,116;0,139;0,153;0,164;0,176;0,177;0,171;0,160;0,157;0,157;0,180;0,223;0,251;0,279
