Cde_Âge;Cde_Pays;Pays;Cde_Mesure;Mesure;Cde_Sexe;Sexe;Âge;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Y_GE65;BEL;Belgique;PS;Personnes;F;Sexe féminin;65 ans et plus;1033323,000;1040387,000;1048687,000;1055018,000;1056228,000;1056812,000;1061821,000;1070820,000;1081037,000;1095684,000;1112977,000;1128561,000;1144623,000;1159719,000;1173956,000;1189260,000;1205003,000;1221844,000;1236243,000;1251651,000;1271399,000;1291822,000;1314141,000
Y15T64;BEL;Belgique;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;3362973,000;3378675,000;3395100,000;3418365,000;3450608,000;3485552,000;3517161,000;3543787,000;3571602,000;3594309,000;3605743,000;3612037,000;3617410,000;3625261,000;3632350,000;3637296,000;3642920,000;3651035,000;3657748,000;3666128,000;3691849,000;3719131,000;3734243,000
Y_GE65;BEL;Belgique;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;14,266;14,396;14,534;14,612;14,592;14,557;14,595;14,699;14,799;14,984;15,262;15,527;15,804;16,062;16,296;16,543;16,799;17,063;17,298;17,523;17,762;18,028;18,351
Y_GE65;BEL;Belgique;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;16,979;17,070;17,175;17,219;17,155;17,074;17,064;17,121;17,177;17,316;17,545;17,766;17,999;18,210;18,405;18,617;18,835;19,062;19,265;19,469;19,673;19,894;20,187
Y_GE65;BEL;Belgique;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;19,577;19,633;19,705;19,716;19,613;19,489;19,436;19,448;19,463;19,560;19,744;19,925;20,116;20,285;20,444;20,625;20,809;21,002;21,175;21,361;21,529;21,707;21,972
Y_LT15;BEL;Belgique;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;17,459;17,348;17,236;17,135;17,036;16,943;16,890;16,890;16,928;16,964;16,978;16,985;16,989;16,979;16,964;16,953;16,928;16,876;16,791;16,680;16,567;16,401;16,175
Y_LT15;BEL;Belgique;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;16,708;16,607;16,500;16,402;16,313;16,233;16,186;16,190;16,235;16,274;16,292;16,305;16,310;16,305;16,299;16,295;16,281;16,243;16,174;16,073;15,957;15,800;15,593
Y_LT15;BEL;Belgique;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;18,242;18,121;18,004;17,900;17,790;17,683;17,622;17,619;17,649;17,680;17,690;17,691;17,694;17,676;17,652;17,633;17,596;17,529;17,427;17,305;17,194;17,020;16,774
Y15T64;BEL;Belgique;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;67,492;67,483;67,462;67,488;67,619;67,760;67,783;67,682;67,552;67,335;67,048;66,782;66,502;66,261;66,052;65,825;65,605;65,408;65,275;65,173;65,044;64,952;64,875
Y15T64;BEL;Belgique;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;63,714;63,759;63,795;63,882;64,074;64,278;64,378;64,362;64,303;64,166;63,964;63,770;63,574;63,410;63,257;63,080;62,910;62,755;62,651;62,567;62,514;62,493;62,435
Y15T64;BEL;Belgique;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;65,562;65,581;65,590;65,647;65,809;65,983;66,046;65,989;65,896;65,720;65,478;65,249;65,012;64,811;64,631;64,430;64,237;64,062;63,944;63,851;63,760;63,704;63,638
