Cde_Pays;Pays;Cde_Dépense;Dépense;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
HRV;Croatie;GF0602;Équipements collectifs;0,150880;0,199640;0,185640;0,220510;0,179730;0,273630;0,341460;0,302770;0,233710;0,291020;0,336360;0,350660;0,346420;0,347650;0,357010;0,319410;0,239690;0,255440;0,250600;0,294070;0,323610;0,409970;
HRV;Croatie;GF0801;Services récréatifs et sportifs;0,089810;0,139750;0,145310;0,174600;0,193430;0,233820;0,245100;0,283020;0,255990;0,249180;0,260610;0,258820;0,262020;0,263490;0,227440;0,192420;0,199000;0,232140;0,234830;0,237860;0,257900;0,323850;
HRV;Croatie;GF0704;Services de santé publique;0,078840;0,084010;0,086850;0,097830;0,097500;0,099830;0,094910;0,098370;0,108350;0,116850;0,107890;0,100850;0,098200;0,135320;0,121160;0,114000;0,188300;0,210490;0,275010;0,416600;0,476160;0,445800;
HRV;Croatie;GF08;Loisirs, culture et cultes;0,444970;0,588720;0,612690;0,686420;0,703420;0,881370;0,937990;0,981150;0,916510;0,916510;0,920650;0,881350;0,895010;0,853400;0,799380;0,814900;0,867700;0,967570;0,996580;1,028910;1,087160;1,545860;
HRV;Croatie;GF0702;Services ambulatoires;0,383400;0,435120;0,490200;0,511520;0,526650;0,552010;0,539680;0,577730;0,563280;0,578700;0,589750;0,610390;0,601080;0,668580;0,658220;0,699500;0,679250;0,738140;0,782870;0,789270;0,824500;0,952850;
HRV;Croatie;GF0803;Services de radiodiffusion, de télévision et d'édition;0,103970;0,095120;0,113130;0,120780;0,120830;0,143470;0,158680;0,151830;0,162550;0,173680;0,181100;0,150150;0,156870;0,161140;0,167870;0,166040;0,166580;0,168780;0,174950;0,193430;0,194690;0,202010;
HRV;Croatie;GF0402;Agriculture, sylviculture, pêche et chasse;0,286980;0,316650;0,370760;0,397340;0,409370;0,482790;0,605060;0,604470;0,653990;0,604700;0,515210;0,425030;0,358560;0,383240;0,366280;0,353430;0,342240;0,356760;0,382080;0,325700;0,296780;0,376750;
HRV;Croatie;GF0305;RetD concernant l'ordre et la sécurité publics;0,000920;0,001000;0,001150;0,001190;0,001070;0,001290;0,001340;0,001400;0,001400;0,001030;0,000980;0,001030;0,000910;0,000910;0,000760;0,000000;0,001340;0,001100;0,001990;0,007160;0,009450;0,009520;
HRV;Croatie;GF1007;Exclusion sociale n.c.a.;0,020500;0,036500;0,040290;0,041770;0,038930;0,027030;0,040740;0,044120;0,020030;0,023590;0,035840;0,040050;0,048940;0,042800;0,046000;0,050630;0,051380;0,055560;0,052770;0,051880;0,065680;0,093760;
HRV;Croatie;GF05;Protection de l'environnement;0,191740;0,226230;0,259940;0,276390;0,285250;0,352090;0,367480;0,358610;0,350190;0,388690;0,389840;0,403990;0,385610;0,376050;0,413800;0,384850;0,445010;0,468900;0,441310;0,497840;0,512530;0,640690;
HRV;Croatie;GF0407;Autres branches d'activité;0,092370;0,152650;0,159630;0,155340;0,179550;0,211890;0,226300;0,210960;0,230270;0,175240;0,206420;0,207900;0,209530;0,167880;0,237170;0,269660;0,296820;0,298280;0,304910;0,307900;0,318340;0,391190;
HRV;Croatie;GF0301;Services de police;0,351200;0,373900;0,392060;0,415860;0,467500;0,510270;0,545430;0,548760;0,520510;0,539680;0,521740;0,532030;0,510270;0,572910;0,578010;0,569200;0,613800;0,723440;0,781940;0,827640;0,861830;1,008350;
HRV;Croatie;GF0802;Services culturels;0,161470;0,220010;0,221430;0,252020;0,264110;0,333810;0,349700;0,384400;0,357320;0,352630;0,348760;0,330950;0,326480;0,311290;0,293570;0,324640;0,363650;0,409100;0,398770;0,423750;0,452970;0,607930;
HRV;Croatie;GF01;Services généraux des administrations publiques;1,048700;1,175880;1,293090;1,401150;1,520540;1,756980;1,942480;2,039620;1,970480;2,185920;2,284610;2,627690;3,083770;3,005360;3,130430;3,039670;2,959490;3,120420;2,936240;2,979900;2,864250;3,776540;
HRV;Croatie;GF0504;Préservation de la diversité biologique et protection de la nature;0,023530;0,028300;0,028100;0,029100;0,036310;0,038510;0,025290;0,031270;0,026120;0,029120;0,032100;0,051770;0,056470;0,066770;0,067820;0,072370;0,084200;0,092160;0,071330;0,079390;0,085930;0,105330;
HRV;Croatie;GF0804;Culte et autres services communautaires;0,032220;0,068880;0,056400;0,057950;0,047000;0,086210;0,089590;0,075270;0,081040;0,071340;0,070270;0,079580;0,088140;0,062080;0,058180;0,085670;0,078300;0,085140;0,112740;0,097080;0,098330;0,316440;
HRV;Croatie;GF0606;Logement et équipements collectifs n.c.a.;0,058430;0,078250;0,087710;0,091400;0,161390;0,148870;0,149870;0,147200;0,136850;0,123050;0,129520;0,124680;0,138250;0,116080;0,117900;0,149600;0,121710;0,128270;0,103270;0,120710;0,128590;0,209280;
HRV;Croatie;GF1001;Maladie et invalidité;0,807780;0,815770;0,825810;0,850400;0,894860;0,959520;1,044330;1,066420;1,090940;1,120250;1,098530;1,105070;1,155340;0,888090;0,820650;0,826380;0,859990;0,881760;0,881800;0,905620;0,963240;1,063700;
HRV;Croatie;GF0409;Affaires économiques n.c.a.;0,088140;0,090610;0,100810;0,118640;0,108630;0,116030;0,069130;0,076460;0,060140;0,071660;0,047470;0,037940;0,035570;0,022080;0,025090;0,033620;0,034330;0,036700;0,036840;0,037310;0,037870;0,049760;
HRV;Croatie;GF0901;Enseignement préélémentaire et primaire;0,755330;0,820610;0,835750;0,859430;0,868930;0,924400;0,988340;1,001130;1,019780;1,019160;1,040750;1,008950;1,059500;1,065980;1,090910;1,144880;1,210450;1,356330;1,349570;1,534620;1,709350;2,018070;
HRV;Croatie;GF0101;Organes exécutifs et législatifs, affaires finan., fiscales et étrangères;0,312950;0,367140;0,385690;0,442250;0,509900;0,634870;0,668460;0,663150;0,547370;0,481920;0,441780;0,760340;1,072990;0,961500;1,133520;1,176370;1,282860;1,403050;1,433890;1,574640;1,473090;1,954440;
HRV;Croatie;GF0401;Tutelle de l'économie générale, des échanges et de l'emploi;0,296400;0,360880;0,443800;0,436050;0,446440;0,511830;0,614020;0,484520;0,515130;0,462310;0,606180;0,617270;0,475010;0,502370;0,468040;0,432840;0,627400;0,694210;1,766320;1,495000;1,060820;1,464030;
HRV;Croatie;GF1008;RetD dans le domaine de la protection sociale;0,010180;0,009280;0,003960;0,003470;0,002810;0,003260;0,003750;0,005680;0,006870;0,006810;0,013280;0,005220;0,005230;0,001140;0,001250;0,000720;0,000660;0,000720;0,000750;0,000640;0,000600;0,000800;
HRV;Croatie;GF0907;RetD dans le domaine de l'enseignement;0,045390;0,048670;0,055010;0,057320;0,052300;0,056250;0,061810;0,061710;0,065780;0,050690;0,048650;0,048850;0,044390;0,048400;0,044910;0,025810;0,046810;0,053690;0,060020;0,075120;0,102290;0,102000;
HRV;Croatie;GF1004;Famille et enfants;0,537670;0,584010;0,604670;0,608620;0,634720;0,629210;0,666530;0,815130;0,903970;0,910480;0,889520;0,855620;0,922960;1,064490;0,843430;0,939090;1,030890;1,088880;1,107830;1,190970;1,305200;1,489770;
HRV;Croatie;GF0904;Enseignement supérieur;0,477490;0,476330;0,499330;0,532410;0,540370;0,596020;0,614210;0,650290;0,602090;0,599130;0,555650;0,530980;0,551970;0,540140;0,505700;0,560810;0,543360;0,694310;0,698210;0,716380;0,698790;0,926490;
HRV;Croatie;GF0104;Recherche fondamentale;0,044410;0,046210;0,050430;0,053440;0,048430;0,057560;0,065360;0,066270;0,063000;0,061300;0,060490;0,048920;0,056030;0,050510;0,058250;0,017070;0,014340;0,025610;0,025550;0,026250;0,019490;0,013290;
HRV;Croatie;GF0302;Services de protection civile;0,104710;0,113850;0,125780;0,137450;0,130940;0,145140;0,169230;0,164330;0,168150;0,168090;0,172360;0,163910;0,156100;0,158490;0,128140;0,101390;0,107070;0,123890;0,129020;0,157680;0,127710;0,151110;
HRV;Croatie;GF0908;Enseignement n.c.a.;0,065410;0,055260;0,057930;0,059380;0,061040;0,081670;0,063620;0,135700;0,088120;0,073320;0,075760;0,092780;0,082920;0,080700;0,081770;0,096470;0,081970;0,082540;0,126550;0,079580;0,079420;0,112100;
