Cde_Transaction;Transaction;Cde_Pays;Pays;Cde_Devise;Devise;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
D51E;Autres impôts sur le revenu n.c.a.;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D59F;Autres impôts courants n.c.a.;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;18,00;16,00;14,00;10,00;10,00;9,00;10,00;14,00
D91C;Autres impôts en capital n.c.a.;ESP;Espagne;EUR;Euro;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;388,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D995E;Cotisations sociales effectives à la charge des employeurs dues non recouvrables;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D995G;Impôts en capital dus non recouvrables;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D2122B;Montants compensatoires monétaires prélevés à l'importation;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D214J;Bénéfices des monopoles fiscaux;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D61SC;Rémunération du service des régimes d'assurance sociale (-);ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D2122F;Bénéfices des monopoles sur l'importation;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D995FN_D995FS;Cotisations sociales effectives à la charge des travailleurs indépendants et des personnes n'occupant pas d'emploi dues non recouvrables;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D2122D;Impôts généraux sur les ventes;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D51C3;Autres impôts sur les gains de détention n.c.a.;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D995F;Cotisations sociales effectives à la charge des ménages dues non recouvrables;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D29G;Sous-compensation de la TVA (régime forfaitaire);ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D29C;Impôts sur la masse salariale ou les effectifs employés;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D59B;Impôts de capitation;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D6141;Suppléments de cotisations de pension à la charge des ménages;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D2122A;Prélèvements sur les produits agricoles importés;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D995FN;Cotisations sociales effectives à la charge des personnes n'occupant pas d'emploi dues non recouvrables;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D59C;Impôts sur la dépense;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D214E;Taxes sur les spectacles et divertissements;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D214K;Droits sur les exportations et montants compensatoires monétaires prélevés à l'exportation;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D995C;Impôts sur le revenu dus non recouvrables;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D51C;Impôts sur les gains de détention;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D995B;Autres impôts sur la production dus non recouvrables;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D51D;Taxes sur les gains des loteries et des paris;ESP;Espagne;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D51O;Impôts sur le revenu des sociétés y compris les gains de détention;ESP;Espagne;EUR;Euro;22508,00;23963,00;28793,00;35244,00;40364,00;49362,00;30634,00;23681,00;19680,00;18890,00;22127,00;20434,00;20573,00;23761,00;24678,00;25996,00;29688,00;25714,00;22065,00;32331,00;36628,00;43520,00;47452,00
D2122C;Droits d'accise;ESP;Espagne;EUR;Euro;29,00;27,00;38,00;44,00;52,00;52,00;48,00;45,00;47,00;38,00;44,00;40,00;30,00;47,00;38,00;29,00;31,00;33,00;21,00;32,00;19,00;140,00;155,00
D211;Taxes du type TVA;ESP;Espagne;EUR;Euro;41673,00;45645,00;51272,00;57716,00;62365,00;62743,00;52347,00;36786,00;55318,00;54101,00;55021,00;60314,00;64091,00;69294,00;71753,00;75599,00;79239,00;80889,00;70669,00;83547,00;94140,00;96030,00;102495,00
D59D;Paiements effectués par les ménages en vue de l’obtention de licences;ESP;Espagne;EUR;Euro;1495,00;1571,00;1649,00;1807,00;1871,00;1918,00;1947,00;2006,00;2032,00;2003,00;2002,00;2088,00;2014,00;2000,00;2096,00;2113,00;2128,00;2130,00;2019,00;2136,00;2149,00;2130,00;2186,00
ODD;Charges fiscales correspondant au produit total des impôts et cotisations sociales obligatoires après déduction des montants dus non recouvrables;ESP;Espagne;EUR;Euro;248150,00;264690,00;291466,00;325522,00;360013,00;390275,00;355092,00;316569,00;334684,00;330591,00;332679,00;336923,00;348520,00;362635,00;372332,00;391847,00;415346,00;430212,00;411066,00;460455,00;503084,00;543591,00;583691,00
D51M;Impôts sur le revenu des personnes physiques ou des ménages y compris les gains de détention;ESP;Espagne;EUR;Euro;50313,00;50390,00;54121,00;61115,00;70442,00;81241,00;78445,00;71309,00;74847,00;76814,00;77395,00;77662,00;79928,00;79442,00;81224,00;86735,00;93248,00;99033,00;98960,00;106648,00;123399,00;134371,00;145873,00
D59A;Impôts courants sur le capital;ESP;Espagne;EUR;Euro;1420,00;1457,00;1517,00;1715,00;2025,00;2479,00;2890,00;625,00;688,00;666,00;1449,00;2049,00;1880,00;1904,00;1993,00;2076,00;2204,00;2226,00;2294,00;2360,00;2585,00;3088,00;3186,00
ODC;Produit total des impôts et cotisations sociales nettes (y compris cotisations sociales imputées), après déduction des montants dus non recouvrables;ESP;Espagne;EUR;Euro;254563,00;271477,00;298619,00;333121,00;368060,00;398830,00;364113,00;326230,00;344424,00;340164,00;342001,00;346904,00;357373,00;371308,00;380816,00;400151,00;423513,00;438341,00;418942,00;468318,00;510862,00;551538,00;591679,00
D613V;Cotisations sociales effectives volontaires des ménages;ESP;Espagne;EUR;Euro;583,00;663,00;734,00;813,00;879,00;937,00;978,00;1068,00;1155,00;1097,00;1111,00;2209,00;1216,00;1170,00;1149,00;1133,00;1038,00;987,00;891,00;931,00;930,00;892,00;949,00
D214L;Autres impôts sur les produits n.c.a.;ESP;Espagne;EUR;Euro;1204,00;1473,00;1731,00;2013,00;2433,00;2242,00;1517,00;995,00;1041,00;971,00;699,00;729,00;742,00;782,00;858,00;946,00;1246,00;1332,00;1113,00;1406,00;1579,00;1798,00;1874,00
D29F;Impôts sur les émissions polluantes;ESP;Espagne;EUR;Euro;117,00;157,00;141,00;148,00;161,00;174,00;201,00;160,00;208,00;227,00;329,00;912,00;905,00;1195,00;1235,00;1307,00;1616,00;1972,00;2213,00;2721,00;3264,00;4520,00;4680,00
D59;Autres impôts courants;ESP;Espagne;EUR;Euro;2915,00;3028,00;3166,00;3522,00;3896,00;4397,00;4837,00;2631,00;2720,00;2669,00;3451,00;4137,00;3894,00;3904,00;4100,00;4207,00;4348,00;4370,00;4323,00;4506,00;4743,00;5228,00;5386,00
D29A;Impôts sur les terrains, bâtiments et autres constructions;ESP;Espagne;EUR;Euro;4561,00;4912,00;5431,00;6045,00;6697,00;7281,00;7946,00;8863,00;9666,00;10181,00;11200,00;11829,00;12391,00;12623,00;12853,00;13188,00;13426,00;13488,00;13267,00;13998,00;13793,00;14007,00;14133,00
D91B;Prélèvements sur le capital;ESP;Espagne;EUR;Euro;1252,00;1404,00;1633,00;1898,00;2228,00;2447,00;1934,00;1651,00;1809,00;1676,00;1595,00;2191,00;2956,00;3554,00;3739,00;3006,00;2909,00;2997,00;2171,00;2657,00;1915,00;2122,00;2175,00
D613CE;Cotisations sociales effectives obligatoires à la charge des salariés;ESP;Espagne;EUR;Euro;13596,00;14549,00;15477,00;16701,00;18324,00;19625,00;20323,00;19424,00;19423,00;19847,00;18390,00;16603,00;18159,00;18783,00;19614,00;20621,00;21647,00;23272,00;22227,00;24091,00;26303,00;28830,00;30885,00
D613CSN;Cotisations sociales obligatoires à la charge des travailleurs indépendants et des personnes n'occupant pas d'emploi;ESP;Espagne;EUR;Euro;10202,00;10954,00;12268,00;12719,00;13329,00;14229,00;15696,00;18674,00;18146,00;17634,00;18471,00;18048,00;17047,00;16064,00;15767,00;15976,00;16278,00;16981,00;19642,00;20977,00;18244,00;19204,00;19913,00
D21;Impôts sur les produits;ESP;Espagne;EUR;Euro;73602,00;81653,00;91569,00;102383,00;111274,00;111351,00;92137,00;72972,00;91907,00;87773,00;86853,00;93818,00;98480,00;105912,00;108820,00;114722,00;119990,00;121418,00;105351,00;123888,00;136611,00;138482,00;149746,00
D214A;Droits d'accise et impôts de consommation;ESP;Espagne;EUR;Euro;18427,00;19596,00;20530,00;21316,00;22055,00;23371,00;23432,00;23096,00;23602,00;22794,00;22097,00;24185,00;24387,00;25514,00;25282,00;25970,00;26154,00;25580,00;22718,00;23521,00;23038,00;23913,00;26517,00
ODA;Total des recettes fiscales;ESP;Espagne;EUR;Euro;160524,00;170452,00;190150,00;216455,00;241764,00;263187,00;223116,00;188040,00;207449,00;204706,00;212178,00;220048,00;228407,00;239800,00;245243,00;257721,00;274063,00;277685,00;256768,00;296631,00;330776,00;354535,00;381342,00
D611;Cotisations sociales effectives à la charge des employeurs;ESP;Espagne;EUR;Euro;63828,00;68735,00;73571,00;79647,00;86596,00;93234,00;95957,00;90431,00;89666,00;88404,00;83640,00;82224,00;84907,00;87988,00;91708,00;97529,00;103358,00;112274,00;112429,00;118756,00;127761,00;141022,00;151551,00
D2;Impôts sur la production et les importations;ESP;Espagne;EUR;Euro;82033,00;89950,00;100460,00;112258,00;122204,00;122839,00;104356,00;86108,00;105981,00;102441,00;105324,00;112744,00;118365,00;126349,00;128812,00;135067,00;141184,00;143058,00;126756,00;146953,00;160429,00;165865,00;176937,00
D613;Cotisations sociales effectives à la charge des ménages;ESP;Espagne;EUR;Euro;24381,00;26166,00;28479,00;30233,00;32532,00;34791,00;36997,00;39166,00;38724,00;38578,00;37972,00;36860,00;36422,00;36017,00;36530,00;37730,00;38963,00;41240,00;42760,00;45999,00;45477,00;48926,00;51747,00
D29;Autres impôts sur la production;ESP;Espagne;EUR;Euro;8431,00;8297,00;8891,00;9875,00;10930,00;11488,00;12219,00;13136,00;14074,00;14668,00;18471,00;18926,00;19885,00;20437,00;19992,00;20345,00;21194,00;21640,00;21405,00;23065,00;23818,00;27383,00;27191,00
D613CN;Cotisations sociales effectives obligatoires à la charge des personnes n'occupant pas d'emploi;ESP;Espagne;EUR;Euro;2827,00;3116,00;3378,00;3578,00;3693,00;4109,00;5319,00;8526,00;8027,00;7412,00;8276,00;7804,00;6410,00;5192,00;4670,00;4478,00;4564,00;5480,00;8054,00;9175,00;6449,00;6835,00;7263,00
D214G;Taxes sur les primes d'assurance;ESP;Espagne;EUR;Euro;1074,00;1201,00;1313,00;1403,00;1478,00;1581,00;1608,00;1498,00;1531,00;1516,00;1473,00;1417,00;1406,00;1446,00;1471,00;1546,00;1604,00;1714,00;1704,00;2247,00;2456,00;2573,00;2801,00
D2_D5_D91_D611_D613;Total des impôts et des cotisations sociales;ESP;Espagne;EUR;Euro;248733,00;265353,00;292200,00;326335,00;360892,00;391212,00;356070,00;317637,00;335839,00;331688,00;333790,00;339132,00;349736,00;363805,00;373481,00;392980,00;416384,00;431199,00;411957,00;461386,00;504014,00;544483,00;584640,00
D613CS;Cotisations sociales effectives obligatoires à la charge des travailleurs indépendants;ESP;Espagne;EUR;Euro;7375,00;7838,00;8890,00;9141,00;9636,00;10120,00;10377,00;10148,00;10119,00;10222,00;10195,00;10244,00;10637,00;10872,00;11097,00;11498,00;11714,00;11501,00;11588,00;11802,00;11795,00;12369,00;12650,00
D51;Impôts sur le revenu;ESP;Espagne;EUR;Euro;72821,00;74353,00;82914,00;96359,00;110806,00;130603,00;109079,00;94990,00;94527,00;95704,00;99522,00;98096,00;100501,00;103203,00;105902,00;112731,00;122936,00;124747,00;121025,00;138979,00;160027,00;177891,00;193325,00
D611C;Cotisations sociales effectives obligatoires à la charge des employeurs;ESP;Espagne;EUR;Euro;63828,00;68735,00;73571,00;79647,00;86596,00;93234,00;95957,00;90431,00;89666,00;88404,00;83640,00;82224,00;84907,00;87988,00;91708,00;97529,00;103358,00;112274,00;112429,00;118756,00;127761,00;141022,00;151551,00
D214B;Droits de timbre;ESP;Espagne;EUR;Euro;173,00;129,00;108,00;93,00;87,00;75,00;67,00;47,00;28,00;32,00;22,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D2121;Droits sur les importations;ESP;Espagne;EUR;Euro;84,00;102,00;89,00;86,00;98,00;93,00;92,00;75,00;84,00;89,00;74,00;84,00;102,00;96,00;97,00;100,00;98,00;97,00;86,00;107,00;125,00;140,00;147,00
D61N;Cotisations sociales effectives des employeurs et des ménages;ESP;Espagne;EUR;Euro;88209,00;94901,00;102050,00;109880,00;119128,00;128025,00;132954,00;129597,00;128390,00;126982,00;121612,00;119084,00;121329,00;124005,00;128238,00;135259,00;142321,00;153514,00;155189,00;164755,00;173238,00;189948,00;203298,00
D214D;Taxes à l'immatriculation des véhicules;ESP;Espagne;EUR;Euro;1298,00;1405,00;1597,00;1848,00;2075,00;2158,00;1273,00;818,00;735,00;558,00;424,00;325,00;318,00;358,00;406,00;482,00;609,00;697,00;446,00;544,00;718,00;842,00;914,00
D2122;Impôts sur les importations à l'exclusion de la TVA et des droits sur les importations;ESP;Espagne;EUR;Euro;29,00;27,00;38,00;44,00;52,00;52,00;48,00;45,00;47,00;38,00;44,00;40,00;30,00;47,00;38,00;29,00;31,00;33,00;21,00;32,00;19,00;140,00;155,00
D29E;Autorisations d'exercer des activités commerciales ou professionnelles;ESP;Espagne;EUR;Euro;3410,00;2853,00;2934,00;3247,00;3606,00;3518,00;3551,00;3603,00;3694,00;3738,00;3740,00;3803,00;3987,00;3895,00;3906,00;3904,00;4014,00;4055,00;3767,00;3982,00;4390,00;4495,00;4433,00
D613C;Cotisations sociales effectives obligatoires à la charge des ménages;ESP;Espagne;EUR;Euro;23798,00;25503,00;27745,00;29420,00;31653,00;33854,00;36019,00;38098,00;37569,00;37481,00;36861,00;34651,00;35206,00;34847,00;35381,00;36597,00;37925,00;40253,00;41869,00;45068,00;44547,00;48034,00;50798,00
D214I;Impôts généraux sur les ventes ou le chiffre d'affaires;ESP;Espagne;EUR;Euro;23,00;29,00;28,00;33,00;37,00;35,00;33,00;34,00;311,00;270,00;223,00;174,00;151,00;184,00;190,00;195,00;194,00;190,00;177,00;334,00;455,00;399,00;478,00
D214C;Impôts sur les opérations financières et les opérations en capital;ESP;Espagne;EUR;Euro;7779,00;10123,00;12853,00;15808,00;18618,00;16950,00;9856,00;7876,00;7575,00;6046,00;5335,00;5281,00;6058,00;6984,00;7344,00;8457,00;9308,00;9329,00;7535,00;11108,00;12664,00;11167,00;12854,00
D612;Cotisations sociales imputées à la charge des employeurs;ESP;Espagne;EUR;Euro;5830,00;6124,00;6419,00;6786,00;7168,00;7618,00;8043,00;8593,00;8585,00;8476,00;8211,00;7772,00;7637,00;7503,00;7335,00;7171,00;7129,00;7142,00;6985,00;6932,00;6848,00;7055,00;7039,00
D5;Impôts courants sur le revenu, le patrimoine, etc.;ESP;Espagne;EUR;Euro;75736,00;77381,00;86080,00;99881,00;114702,00;135000,00;113916,00;97621,00;97247,00;98373,00;102973,00;102233,00;104395,00;107107,00;110002,00;116938,00;127284,00;129117,00;125348,00;143485,00;164770,00;183119,00;198711,00
D91;Impôts en capital;ESP;Espagne;EUR;Euro;2755,00;3121,00;3610,00;4316,00;4858,00;5348,00;4844,00;4311,00;4221,00;3892,00;3881,00;5071,00;5647,00;6344,00;6429,00;5716,00;5595,00;5510,00;4664,00;6193,00;5577,00;5551,00;5694,00
D214;Impôts sur les produits à l'exclusion de TVA et des impôts sur les importations et les exportations;ESP;Espagne;EUR;Euro;31816,00;35879,00;40170,00;44537,00;48759,00;48463,00;39650,00;36066,00;36458,00;33545,00;31714,00;33380,00;34257,00;36475,00;36932,00;38994,00;40622,00;40399,00;34575,00;40202,00;42327,00;42172,00;46949,00
D29H;Autres impôts sur la production n.c.a.;ESP;Espagne;EUR;Euro;2,00;16,00;5,00;7,00;7,00;13,00;7,00;8,00;8,00;29,00;2714,00;1879,00;2127,00;2254,00;1512,00;1460,00;1649,00;1634,00;1685,00;1871,00;1871,00;3870,00;3434,00
D61;Cotisations sociales nettes;ESP;Espagne;EUR;Euro;94039,00;101025,00;108469,00;116666,00;126296,00;135643,00;140997,00;138190,00;136975,00;135458,00;129823,00;126856,00;128966,00;131508,00;135573,00;142430,00;149450,00;160656,00;162174,00;171687,00;180086,00;197003,00;210337,00
D91A;Impôts sur les transferts en capital;ESP;Espagne;EUR;Euro;1503,00;1717,00;1973,00;2418,00;2630,00;2901,00;2910,00;2660,00;2412,00;2216,00;2286,00;2492,00;2684,00;2790,00;2690,00;2710,00;2686,00;2513,00;2493,00;3536,00;3662,00;3429,00;3519,00
D214F;Taxes sur les loteries, les jeux et les paris;ESP;Espagne;EUR;Euro;1838,00;1923,00;2010,00;2023,00;1976,00;2051,00;1864,00;1702,00;1635,00;1358,00;1441,00;1249,00;1195,00;1164,00;1299,00;1289,00;1327,00;1361,00;816,00;997,00;1190,00;1253,00;1272,00
D29B;Impôts sur l'utilisation d'actifs fixes;ESP;Espagne;EUR;Euro;341,00;359,00;380,00;428,00;459,00;502,00;514,00;502,00;498,00;493,00;488,00;503,00;475,00;470,00;486,00;486,00;489,00;491,00;473,00;493,00;500,00;491,00;511,00
D212;Impôts et droits sur les importations, à l'exclusion de la TVA;ESP;Espagne;EUR;Euro;113,00;129,00;127,00;130,00;150,00;145,00;140,00;120,00;131,00;127,00;118,00;124,00;132,00;143,00;135,00;129,00;129,00;130,00;107,00;139,00;144,00;280,00;302,00
D613CSN;Cotisations sociales obligatoires à la charge des travailleurs indépendants et des personnes n'occupant pas d'emploi;EST;Estonie;EUR;Euro;22,56;24,20;25,14;24,90;36,03;51,39;69,82;123,14;119,00;108,81;102,08;104,51;110,51;123,10;138,26;152,12;170,99;185,58;217,34;221,46;180,05;186,88;193,87
D214F;Taxes sur les loteries, les jeux et les paris;EST;Estonie;EUR;Euro;10,76;11,15;13,06;18,58;22,67;29,83;30,94;17,77;20,63;19,32;20,72;21,60;23,23;22,99;26,23;26,86;27,44;29,80;28,12;33,01;47,06;48,58;57,13
ODA;Total des recettes fiscales;EST;Estonie;EUR;Euro;1569,99;1767,88;2014,24;2206,23;2750,69;3369,62;3282,05;3128,36;3044,14;3334,78;3721,78;3946,80;4285,91;4600,36;4880,63;5144,62;5578,70;6068,61;5843,19;6912,13;7732,91;8276,98;9107,48
D613CN;Cotisations sociales effectives obligatoires à la charge des personnes n'occupant pas d'emploi;EST;Estonie;EUR;Euro;10,75;12,42;12,46;11,25;19,05;30,41;46,06;98,61;98,25;89,91;83,84;85,64;90,80;103,29;118,04;131,43;150,48;165,43;197,34;201,73;160,58;165,77;172,16
D611;Cotisations sociales effectives à la charge des employeurs;EST;Estonie;EUR;Euro;808,32;874,72;950,46;1091,24;1295,47;1604,32;1789,96;1548,48;1559,14;1630,56;1761,03;1863,64;2010,27;2132,63;2260,59;2451,60;2684,03;2935,23;2973,98;3279,69;3771,19;4201,24;4478,11
D29H;Autres impôts sur la production n.c.a.;EST;Estonie;EUR;Euro;20,42;17,61;17,56;20,64;28,75;43,97;33,21;16,54;22,56;30,09;35,03;37,78;32,67;34,12;29,37;31,40;33,97;37,02;37,09;41,33;42,58;64,49;69,38
D212;Impôts et droits sur les importations, à l'exclusion de la TVA;EST;Estonie;EUR;Euro;254,52;272,87;352,22;411,23;457,98;578,44;539,38;700,45;623,57;716,26;796,26;801,85;850,24;874,74;1001,79;994,42;1016,31;1133,35;901,10;986,34;1001,21;1019,84;1035,27
D2121;Droits sur les importations;EST;Estonie;EUR;Euro;2,45;3,41;0,78;;;;;;;;;;;;;;;;;;;;
D2_D5_D91_D611_D613;Total des impôts et des cotisations sociales;EST;Estonie;EUR;Euro;2423,61;2690,78;3016,69;3353,03;4104,32;5053,00;5173,00;4875,04;4838,71;5200,91;5722,01;6024,29;6520,19;6955,39;7382,70;7860,46;8557,08;9325,01;9173,84;10563,70;11854,99;12855,26;13981,43
ODD;Charges fiscales correspondant au produit total des impôts et cotisations sociales obligatoires après déduction des montants dus non recouvrables;EST;Estonie;EUR;Euro;2423,61;2690,78;3016,69;3353,03;4104,32;5053,00;5173,00;4875,04;4838,71;5200,91;5722,01;6024,29;6520,19;6955,39;7382,70;7860,46;8557,08;9325,01;9173,84;10563,70;11854,99;12855,26;13981,43
D29;Autres impôts sur la production;EST;Estonie;EUR;Euro;65,42;66,95;70,26;82,14;103,48;129,67;129,05;110,22;108,98;120,03;129,46;136,38;158,43;149,13;167,72;173,73;194,37;288,89;276,57;285,80;403,10;503,81;532,74
D51M;Impôts sur le revenu des personnes physiques ou des ménages y compris les gains de détention;EST;Estonie;EUR;Euro;498,92;563,59;608,13;622,23;746,47;935,70;1010,83;788,56;776,44;845,86;931,26;1030,57;1133,90;1182,48;1258,73;1344,42;1411,19;1531,59;1652,36;2146,15;2279,44;2390,72;2595,54
D2122;Impôts sur les importations à l'exclusion de la TVA et des droits sur les importations;EST;Estonie;EUR;Euro;252,07;269,46;351,44;411,23;457,98;578,44;539,38;700,45;623,57;716,26;796,26;801,85;850,24;874,74;1001,79;994,42;1016,31;1133,35;901,10;986,34;1001,21;1019,84;1035,27
D611C;Cotisations sociales effectives obligatoires à la charge des employeurs;EST;Estonie;EUR;Euro;808,32;874,72;950,46;1091,24;1295,47;1604,32;1789,96;1548,48;1559,14;1630,56;1761,03;1863,64;2010,27;2132,63;2260,59;2451,60;2684,03;2935,23;2973,98;3279,69;3771,19;4201,24;4478,11
D59;Autres impôts courants;EST;Estonie;EUR;Euro;1,28;0,17;0,02;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D613C;Cotisations sociales effectives obligatoires à la charge des ménages;EST;Estonie;EUR;Euro;45,30;48,18;51,99;55,56;58,16;79,06;100,99;198,20;235,43;235,57;239,20;213,85;224,01;222,40;241,48;264,24;294,35;321,17;356,67;371,88;350,89;377,04;395,84
D214;Impôts sur les produits à l'exclusion de TVA et des impôts sur les importations et les exportations;EST;Estonie;EUR;Euro;13,17;14,41;16,66;23,12;28,26;41,61;48,80;48,82;84,18;88,56;104,35;93,50;87,50;96,73;108,14;117,79;108,27;123,07;124,36;135,57;144,21;147,01;147,00
D2;Impôts sur la production et les importations;EST;Estonie;EUR;Euro;983,63;1066,30;1244,90;1424,44;1804,59;2172,92;2004,96;2083,49;2073,94;2287,87;2538,10;2589,63;2807,29;2993,59;3252,76;3434,65;3649,65;4027,92;3741,30;4284,81;4857,33;5169,36;5549,12
D61N;Cotisations sociales effectives des employeurs et des ménages;EST;Estonie;EUR;Euro;853,62;922,90;1002,45;1146,80;1353,63;1683,38;1890,95;1746,68;1794,57;1866,13;2000,23;2077,49;2234,28;2355,03;2502,07;2715,84;2978,38;3256,40;3330,65;3651,57;4122,08;4578,28;4873,95
D29A;Impôts sur les terrains, bâtiments et autres constructions;EST;Estonie;EUR;Euro;26,95;28,71;30,37;32,33;33,07;35,30;48,26;48,25;51,30;51,47;58,61;57,24;58,95;57,99;59,00;57,58;57,97;59,10;58,42;59,30;58,98;59,23;58,47
D5;Impôts courants sur le revenu, le patrimoine, etc.;EST;Estonie;EUR;Euro;586,36;701,58;769,34;781,79;946,10;1196,70;1277,09;1044,87;970,20;1046,91;1183,68;1357,17;1478,62;1606,77;1627,87;1709,97;1929,05;2040,69;2101,89;2627,32;2875,58;3107,62;3558,36
