Cde_Transaction;Transaction;Cde_Pays;Pays;Cde_Devise;Devise;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
D995C;Impôts sur le revenu dus non recouvrables;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D2122B;Montants compensatoires monétaires prélevés à l'importation;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D29F;Impôts sur les émissions polluantes;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,18;5,42;3,28;18,36;55,75;53,34;78,60;59,46;79,43;210,37;183,83;184,22;310,95;381,69;438,42
D214B;Droits de timbre;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D214K;Droits sur les exportations et montants compensatoires monétaires prélevés à l'exportation;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D2122A;Prélèvements sur les produits agricoles importés;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D214I;Impôts généraux sur les ventes ou le chiffre d'affaires;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D29B;Impôts sur l'utilisation d'actifs fixes;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D614;Suppléments de cotisations sociales à la charge des ménages;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D91B;Prélèvements sur le capital;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;717,13;264,05;3,55;30,34;10,43;-0,58;0,05;-0,01;-0,05;0,00;0,00;0,00
D995A;Impôts sur les produits dus non recouvrables;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D59B;Impôts de capitation;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D29E;Autorisations d'exercer des activités commerciales ou professionnelles;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D59D;Paiements effectués par les ménages en vue de l’obtention de licences;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D214J;Bénéfices des monopoles fiscaux;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;186,06;203,71;194,37;197,60;207,61;248,01;242,28;248,13;246,48;242,32;297,54;254,39;283,84;272,84
D6141;Suppléments de cotisations de pension à la charge des ménages;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D995E;Cotisations sociales effectives à la charge des employeurs dues non recouvrables;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D51C;Impôts sur les gains de détention;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D2122C;Droits d'accise;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D613CSN;Cotisations sociales obligatoires à la charge des travailleurs indépendants et des personnes n'occupant pas d'emploi;AUT;Autriche;EUR;Euro;3957,75;4120,69;4535,82;4657,50;4908,38;5040,86;5254,59;5548,66;5495,92;5858,78;6116,48;6388,46;6649,98;6897,07;7079,42;7373,91;7636,09;7978,30;8020,49;8630,67;8771,64;9266,67;10039,73
D29A;Impôts sur les terrains, bâtiments et autres constructions;AUT;Autriche;EUR;Euro;555,85;577,46;589,12;606,64;613,64;625,96;651,05;667,34;681,94;693,49;708,88;735,78;748,57;761,25;771,18;805,16;806,81;829,03;838,60;865,79;873,59;905,44;914,06
D21;Impôts sur les produits;AUT;Autriche;EUR;Euro;26256,92;26624,46;27628,86;28382,16;29028,85;30751,52;31670,71;31796,26;32731,09;34177,45;35778,92;36107,38;36850,07;38275,71;39828,73;41012,74;42036,54;43143,74;40071,78;44013,58;47630,84;50326,01;52066,61
D214D;Taxes à l'immatriculation des véhicules;AUT;Autriche;EUR;Euro;136,98;144,46;147,63;151,50;150,59;148,46;149,97;153,27;158,40;168,22;177,49;175,20;173,48;173,61;181,75;188,49;191,16;188,13;175,13;188,98;161,03;164,51;174,22
D29G;Sous-compensation de la TVA (régime forfaitaire);AUT;Autriche;EUR;Euro;38,15;32,72;32,34;53,18;22,60;4,02;53,07;93,50;35,45;25,69;34,81;44,30;35,79;46,81;-14,61;4,27;36,33;38,08;62,10;162,75;82,83;64,10;0,00
D2122E;Impôts sur des services déterminés;AUT;Autriche;EUR;Euro;22,92;22,54;0,90;0,26;0,12;0,06;0,03;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D91;Impôts en capital;AUT;Autriche;EUR;Euro;148,08;157,01;154,38;139,66;131,89;155,17;142,67;129,78;44,84;50,83;31,67;747,29;295,68;87,79;54,85;27,28;83,45;10,87;13,88;12,96;42,83;90,66;29,95
