Année;Cde_Transaction;Transaction;Cde_Pays;Pays;Cde_Devise;Devise;Montant
2002;D59F;Autres impôts courants n.c.a.;AUT;Autriche;EUR;Euro;1765,49
2002;D2122;Impôts sur les importations à l'exclusion de la TVA et des droits sur les importations;AUT;Autriche;EUR;Euro;22,92
2002;D613CS;Cotisations sociales effectives obligatoires à la charge des travailleurs indépendants;AUT;Autriche;EUR;Euro;1562,12
2002;D61;Cotisations sociales nettes;AUT;Autriche;EUR;Euro;34955,57
2002;D212;Impôts et droits sur les importations, à l'exclusion de la TVA;AUT;Autriche;EUR;Euro;21,46
2002;D214G;Taxes sur les primes d'assurance;AUT;Autriche;EUR;Euro;874,34
2002;D613C;Cotisations sociales effectives obligatoires à la charge des ménages;AUT;Autriche;EUR;Euro;17083,20
2002;D613;Cotisations sociales effectives à la charge des ménages;AUT;Autriche;EUR;Euro;17296,74
2002;D214H;Autres taxes sur des services déterminés;AUT;Autriche;EUR;Euro;315,34
2002;D211;Taxes du type TVA;AUT;Autriche;EUR;Euro;17934,47
2002;D611;Cotisations sociales effectives à la charge des employeurs;AUT;Autriche;EUR;Euro;15032,69
2002;D51;Impôts sur le revenu;AUT;Autriche;EUR;Euro;29198,32
2002;D214A;Droits d'accise et impôts de consommation;AUT;Autriche;EUR;Euro;5904,01
2002;D51B;Impôts sur le revenu ou les bénéfices des sociétés non compris les gains de détention;AUT;Autriche;EUR;Euro;5246,72
2002;ODA;Total des recettes fiscales;AUT;Autriche;EUR;Euro;64770,72
2002;D214C;Impôts sur les opérations financières et les opérations en capital;AUT;Autriche;EUR;Euro;501,93
2002;D214;Impôts sur les produits à l'exclusion de TVA et des impôts sur les importations et les exportations;AUT;Autriche;EUR;Euro;8300,99
2002;ODD;Charges fiscales correspondant au produit total des impôts et cotisations sociales obligatoires après déduction des montants dus non recouvrables;AUT;Autriche;EUR;Euro;96886,60
2002;D29C;Impôts sur la masse salariale ou les effectifs employés;AUT;Autriche;EUR;Euro;5500,27
2002;D61N;Cotisations sociales effectives des employeurs et des ménages;AUT;Autriche;EUR;Euro;32329,43
2002;D91A;Impôts sur les transferts en capital;AUT;Autriche;EUR;Euro;148,08
2002;D2_D5_D91_D611_D613;Total des impôts et des cotisations sociales;AUT;Autriche;EUR;Euro;97100,15
2002;D59;Autres impôts courants;AUT;Autriche;EUR;Euro;1765,49
2002;D611C;Cotisations sociales effectives obligatoires à la charge des employeurs;AUT;Autriche;EUR;Euro;15032,69
2002;D214E;Taxes sur les spectacles et divertissements;AUT;Autriche;EUR;Euro;77,33
2002;D214F;Taxes sur les loteries, les jeux et les paris;AUT;Autriche;EUR;Euro;487,32
2003;D2122C;Droits d'accise;AUT;Autriche;EUR;Euro;0,00
2003;D6141;Suppléments de cotisations de pension à la charge des ménages;AUT;Autriche;EUR;Euro;0,00
2003;D995E;Cotisations sociales effectives à la charge des employeurs dues non recouvrables;AUT;Autriche;EUR;Euro;0,00
2003;D51C;Impôts sur les gains de détention;AUT;Autriche;EUR;Euro;0,00
2003;D214J;Bénéfices des monopoles fiscaux;AUT;Autriche;EUR;Euro;0,00
2003;D59D;Paiements effectués par les ménages en vue de l’obtention de licences;AUT;Autriche;EUR;Euro;0,00
2003;D59B;Impôts de capitation;AUT;Autriche;EUR;Euro;0,00
2003;D29E;Autorisations d'exercer des activités commerciales ou professionnelles;AUT;Autriche;EUR;Euro;0,00
2003;D995A;Impôts sur les produits dus non recouvrables;AUT;Autriche;EUR;Euro;0,00
2003;D614;Suppléments de cotisations sociales à la charge des ménages;AUT;Autriche;EUR;Euro;0,00
2003;D91B;Prélèvements sur le capital;AUT;Autriche;EUR;Euro;0,00
2003;D214I;Impôts généraux sur les ventes ou le chiffre d'affaires;AUT;Autriche;EUR;Euro;0,00
2003;D29B;Impôts sur l'utilisation d'actifs fixes;AUT;Autriche;EUR;Euro;0,00
2003;D2122A;Prélèvements sur les produits agricoles importés;AUT;Autriche;EUR;Euro;0,00
2003;D611V;Cotisations sociales effectives volontaires des employeurs;AUT;Autriche;EUR;Euro;0,00
2003;D6142;Suppléments de cotisations autres que de pension à la charge des ménages;AUT;Autriche;EUR;Euro;0,00
2003;D995B;Autres impôts sur la production dus non recouvrables;AUT;Autriche;EUR;Euro;0,00
2003;D995C;Impôts sur le revenu dus non recouvrables;AUT;Autriche;EUR;Euro;0,00
2003;D2122B;Montants compensatoires monétaires prélevés à l'importation;AUT;Autriche;EUR;Euro;0,00
2003;D214B;Droits de timbre;AUT;Autriche;EUR;Euro;0,00
2003;D29F;Impôts sur les émissions polluantes;AUT;Autriche;EUR;Euro;0,00
2003;D214K;Droits sur les exportations et montants compensatoires monétaires prélevés à l'exportation;AUT;Autriche;EUR;Euro;0,00
2003;D51C3;Autres impôts sur les gains de détention n.c.a.;AUT;Autriche;EUR;Euro;0,00
