Année;Cde_Âge;Cde_Pays;Pays;Cde_Mesure;Mesure;Cde_Sexe;Sexe;Âge;Valeur_Mesurée
2005;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;69,797
2005;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;65,793
2005;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;67,740
2006;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;2786080,000
2006;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe féminin;65 ans et plus;822283,000
2006;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;2798223,000
2006;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;555316,000
2006;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1377599,000
2006;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 à 64 ans;5584303,000
2006;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;13,807
2006;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;16,667
2006;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;19,376
2006;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;15,773
2006;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;14,972
2006;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;16,619
2006;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;69,574
2006;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;65,652
2006;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;67,560
2007;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;2792390,000
2007;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe féminin;65 ans et plus;837622,000
2007;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;2801988,000
2007;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;575295,000
2007;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1412917,000
2007;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 à 64 ans;5594378,000
2007;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;14,254
2007;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;17,036
2007;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;19,674
2007;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;15,510
2007;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;14,738
2007;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;16,324
2007;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;69,422
2007;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;65,588
2007;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;67,454
2008;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;2803876,000
2008;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe féminin;65 ans et plus;846911,000
2008;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;2810330,000
2008;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;589316,000
2008;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1436227,000
2008;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 à 64 ans;5614206,000
2008;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;14,553
2008;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;17,264
2008;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;19,834
2008;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;15,253
2008;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;14,503
2008;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;16,044
2008;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;69,403
2008;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;65,663
2008;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;67,483
2009;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;2810116,000
2009;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe féminin;65 ans et plus;857683,000
2009;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;2814750,000
2009;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;604456,000
2009;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1462139,000
2009;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 à 64 ans;5624866,000
2009;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;14,887
2009;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;17,534
2009;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;20,047
2009;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;15,011
2009;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;14,270
2009;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;15,792
2009;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;69,321
2009;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;65,683
2009;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;67,455
2010;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;2819028,000
2010;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe féminin;65 ans et plus;863974,000
2010;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;2821051,000
2010;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;614544,000
2010;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1478518,000
2010;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 à 64 ans;5640079,000
2010;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;15,098
2010;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;17,691
2010;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;20,153
2010;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;14,822
2010;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;14,091
2010;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;15,592
2010;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;69,309
2010;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;65,756
2010;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;67,486
2011;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;2837529,000
2011;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe féminin;65 ans et plus;862913,000
2011;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;2837458,000
2011;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;618696,000
2011;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1481609,000
2011;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 à 64 ans;5674987,000
2011;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;15,143
2011;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;17,670
2011;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;20,071
2011;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;14,649
2011;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;13,928
2011;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;15,408
2011;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;69,449
2011;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;66,001
2011;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;67,681
2012;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;2843433,000
2012;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe féminin;65 ans et plus;876002,000
2012;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;2845584,000
2012;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;636167,000
2012;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1512169,000
2012;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 à 64 ans;5689017,000
