Cde_Pays;Pays;Cde_Dépense;Dépense;Année;Montant
HRV;Croatie;GF1001;Maladie et invalidité;2003;0,815770
HRV;Croatie;GF0606;Logement et équipements collectifs n.c.a.;2003;0,078250
HRV;Croatie;GF0804;Culte et autres services communautaires;2003;0,068880
HRV;Croatie;GF0504;Préservation de la diversité biologique et protection de la nature;2003;0,028300
HRV;Croatie;GF01;Services généraux des administrations publiques;2003;1,175880
HRV;Croatie;GF0802;Services culturels;2003;0,220010
HRV;Croatie;GF0301;Services de police;2003;0,373900
HRV;Croatie;GF0407;Autres branches d'activité;2003;0,152650
HRV;Croatie;GF05;Protection de l'environnement;2003;0,226230
HRV;Croatie;GF0203;Aide militaire à des pays étrangers;2003;0,000000
HRV;Croatie;GF1007;Exclusion sociale n.c.a.;2003;0,036500
HRV;Croatie;GF0305;RetD concernant l'ordre et la sécurité publics;2003;0,001000
HRV;Croatie;GF0402;Agriculture, sylviculture, pêche et chasse;2003;0,316650
HRV;Croatie;GF0702;Services ambulatoires;2003;0,435120
HRV;Croatie;GF0803;Services de radiodiffusion, de télévision et d'édition;2003;0,095120
HRV;Croatie;GF0704;Services de santé publique;2003;0,084010
HRV;Croatie;GF08;Loisirs, culture et cultes;2003;0,588720
HRV;Croatie;GF0602;Équipements collectifs;2003;0,199640
HRV;Croatie;GF0801;Services récréatifs et sportifs;2003;0,139750
HRV;Croatie;GF0501;Gestion des déchets;2003;0,088890
HRV;Croatie;GF0806;Loisirs, culture et culte n.c.a.;2003;0,034440
HRV;Croatie;GF0605;RetD dans le domaine du logement et des équipements collectifs;2003;0,013980
HRV;Croatie;GF1006;Logement;2003;0,035420
HRV;Croatie;GF0903;Enseignement postsecondaire non supérieur;2003;0,000320
HRV;Croatie;GF09;Enseignement;2003;1,887230
HRV;Croatie;GF0306;Ordre et sécurité publics n.c.a.;2003;0,027290
HRV;Croatie;GF0604;Éclairage public;2003;0,027460
HRV;Croatie;GF0103;Services généraux;2003;0,136120
HRV;Croatie;GF0405;Transports;2003;1,937470
HRV;Croatie;GF0304;Administration pénitentiaire;2003;0,045270
HRV;Croatie;GF1005;Chômage;2003;0,183370
HRV;Croatie;GF0403;Combustibles et énergie;2003;0,009510
HRV;Croatie;GF02;Défense nationale;2003;0,434480
HRV;Croatie;GF0705;RetD dans le domaine de la santé;2003;0,028990
HRV;Croatie;GF0107;Opérations concernant la dette publique;2003;0,563230
HRV;Croatie;GF0201;Défense militaire;2003;0,417190
HRV;Croatie;GF0505;RetD dans le domaine de la protection de l'environnement;2003;0,003820
