Cde_Pays;Pays;Cde_Dépense;Dépense;Année;Montant
LTU;Lituanie;GF0402;Agriculture, sylviculture, pêche et chasse;2022;0,281290
LTU;Lituanie;GF0401;Tutelle de l'économie générale, des échanges et de l'emploi;2022;0,378160
LTU;Lituanie;GF0106;Services généraux des administrations publiques n.c.a.;2022;-0,031090
LTU;Lituanie;GF01;Services généraux des administrations publiques;2022;1,900770
LTU;Lituanie;GF0406;Communications;2022;0,029770
LTU;Lituanie;GF0603;Alimentation en eau;2022;0,004750
LTU;Lituanie;GF0407;Autres branches d'activité;2022;0,077490
LTU;Lituanie;GF1009;Protection sociale n.c.a.;2022;0,160970
LTU;Lituanie;GF0904;Enseignement supérieur;2022;0,530520
LTU;Lituanie;GF05;Protection de l'environnement;2022;0,372580
LTU;Lituanie;GF0505;RetD dans le domaine de la protection de l'environnement;2022;0,000080
LTU;Lituanie;GF1001;Maladie et invalidité;2022;2,556940
LTU;Lituanie;GF0606;Logement et équipements collectifs n.c.a.;2022;0,052060
LTU;Lituanie;GF0101;Organes exécutifs et législatifs, affaires finan., fiscales et étrangères;2022;1,072530
LTU;Lituanie;GF0602;Équipements collectifs;2022;0,189610
LTU;Lituanie;GF1004;Famille et enfants;2022;1,193790
LTU;Lituanie;GF0104;Recherche fondamentale;2022;0,240000
LTU;Lituanie;GF1007;Exclusion sociale n.c.a.;2022;0,306760
LTU;Lituanie;GF0501;Gestion des déchets;2022;0,144220
LTU;Lituanie;GF09;Enseignement;2022;3,285940
LTU;Lituanie;GF0806;Loisirs, culture et culte n.c.a.;2022;0,029650
LTU;Lituanie;GF0704;Services de santé publique;2022;0,072960
LTU;Lituanie;GF0705;RetD dans le domaine de la santé;2022;0,005000
LTU;Lituanie;GF0802;Services culturels;2022;0,494140
LTU;Lituanie;GF0706;Santé n.c.a.;2022;0,194410
LTU;Lituanie;GF0805;RetD dans le domaine des loisirs, de la culture et du culte;2022;0,000130
LTU;Lituanie;GF08;Loisirs, culture et cultes;2022;0,820590
LTU;Lituanie;GF0803;Services de radiodiffusion, de télévision et d'édition;2022;0,072320
LTU;Lituanie;GF0801;Services récréatifs et sportifs;2022;0,209930
LTU;Lituanie;GF0804;Culte et autres services communautaires;2022;0,014420
LTU;Lituanie;GF1008;RetD dans le domaine de la protection sociale;2023;0,000000
LTU;Lituanie;GF0305;RetD concernant l'ordre et la sécurité publics;2023;0,000000
LTU;Lituanie;GF0108;Transferts de caractère général entre administrations publiques;2023;0,000000
LTU;Lituanie;GF0805;RetD dans le domaine des loisirs, de la culture et du culte;2023;0,000000
LTU;Lituanie;GF1005;Chômage;2023;0,573690
LTU;Lituanie;GF0907;RetD dans le domaine de l'enseignement;2023;0,171940
LTU;Lituanie;GF04;Affaires économiques;2023;2,421120
LTU;Lituanie;GF0107;Opérations concernant la dette publique;2023;0,494320
LTU;Lituanie;GF07;Santé;2023;3,897870
LTU;Lituanie;GF0409;Affaires économiques n.c.a.;2023;0,048210
LTU;Lituanie;GF10;Sécurité sociale et oeuvres sociales;2023;10,343590
LTU;Lituanie;GF0905;Enseignement non défini par niveau;2023;0,268840
LTU;Lituanie;GF0703;Services hospitaliers;2023;1,756030
LTU;Lituanie;GF0303;Tribunaux;2023;0,158510
LTU;Lituanie;GF0301;Services de police;2023;0,312780
LTU;Lituanie;GF0502;Gestion des eaux usées;2023;0,014360
LTU;Lituanie;GF0601;Logements;2023;0,114800
LTU;Lituanie;GF0504;Préservation de la diversité biologique et protection de la nature;2023;0,042540
LTU;Lituanie;GF0302;Services de protection civile;2023;0,168470
LTU;Lituanie;GF0403;Combustibles et énergie;2023;0,340770
LTU;Lituanie;GF0204;R et D concernant la défense;2023;0,011570
LTU;Lituanie;GF0408;RetD concernant les affaires économiques;2023;0,000780
LTU;Lituanie;GF0203;Aide militaire à des pays étrangers;2023;0,028030
LTU;Lituanie;GF0402;Agriculture, sylviculture, pêche et chasse;2023;0,257160
LTU;Lituanie;GF01;Services généraux des administrations publiques;2023;2,530740
LTU;Lituanie;GF0106;Services généraux des administrations publiques n.c.a.;2023;0,000300
LTU;Lituanie;GF0401;Tutelle de l'économie générale, des échanges et de l'emploi;2023;0,331890
LTU;Lituanie;GF0406;Communications;2023;0,042280
LTU;Lituanie;GF0603;Alimentation en eau;2023;0,008760
LTU;Lituanie;GF1009;Protection sociale n.c.a.;2023;0,180960
LTU;Lituanie;GF0407;Autres branches d'activité;2023;0,102800
LTU;Lituanie;GF05;Protection de l'environnement;2023;0,405380
LTU;Lituanie;GF0904;Enseignement supérieur;2023;0,609530
LTU;Lituanie;GF0505;RetD dans le domaine de la protection de l'environnement;2023;0,000160
LTU;Lituanie;GF0101;Organes exécutifs et législatifs, affaires finan., fiscales et étrangères;2023;1,335420
LTU;Lituanie;GF0606;Logement et équipements collectifs n.c.a.;2023;0,083230
LTU;Lituanie;GF1001;Maladie et invalidité;2023;2,743200
LTU;Lituanie;GF0602;Équipements collectifs;2023;0,215700
LTU;Lituanie;GF1004;Famille et enfants;2023;1,331230
LTU;Lituanie;GF0104;Recherche fondamentale;2023;0,275420
LTU;Lituanie;GF1007;Exclusion sociale n.c.a.;2023;0,324400
LTU;Lituanie;GF0501;Gestion des déchets;2023;0,157000
LTU;Lituanie;GF1002;Vieillesse;2023;4,853390
LTU;Lituanie;GF0901;Enseignement préélémentaire et primaire;2023;0,823090
LTU;Lituanie;GF0903;Enseignement postsecondaire non supérieur;2023;0,172660
LTU;Lituanie;GF1006;Logement;2023;0,136080
LTU;Lituanie;GF0405;Transports;2023;1,278840
LTU;Lituanie;GF0103;Services généraux;2023;0,373840
LTU;Lituanie;GF0306;Ordre et sécurité publics n.c.a.;2023;0,156040
LTU;Lituanie;GF02;Défense nationale;2023;1,866200
LTU;Lituanie;GF0205;Défense n.c.a.;2023;0,252860
LTU;Lituanie;GF0702;Services ambulatoires;2023;1,236400
LTU;Lituanie;GF1003;Survivants;2023;0,200660
LTU;Lituanie;GF0404;Industries extractives et manufacturières, construction;2023;0,018380
LTU;Lituanie;GF0902;Enseignement secondaire;2023;1,405950
LTU;Lituanie;GF0506;Protection de l'environnement n.c.a.;2023;0,085300
LTU;Lituanie;GF0202;Défense civile;2023;0,005400
LTU;Lituanie;GF06;Logement et développement collectif;2023;0,495930
LTU;Lituanie;GF0503;Lutte contre la pollution;2023;0,106010
LTU;Lituanie;GF0701;Produits, appareils et matériels médicaux;2023;0,664290
LTU;Lituanie;GF0604;Éclairage public;2023;0,073450
LTU;Lituanie;GF0201;Défense militaire;2023;1,568340
LTU;Lituanie;GF0102;Aide économique extérieure;2023;0,051440
LTU;Lituanie;GF0906;Services annexes à l'enseignement;2023;0,023870
LTU;Lituanie;GF0304;Administration pénitentiaire;2023;0,115300
LTU;Lituanie;GF0908;Enseignement n.c.a.;2023;0,322050
LTU;Lituanie;GF03;Ordre et sécurité publics;2023;0,911100
LTU;Lituanie;GF0706;Santé n.c.a.;2023;0,187110
LTU;Lituanie;GF0802;Services culturels;2023;0,570070
LTU;Lituanie;GF08;Loisirs, culture et cultes;2023;0,912820
LTU;Lituanie;GF0803;Services de radiodiffusion, de télévision et d'édition;2023;0,079250
LTU;Lituanie;GF0801;Services récréatifs et sportifs;2023;0,220520
LTU;Lituanie;GF0804;Culte et autres services communautaires;2023;0,015140
LTU;Lituanie;GF0806;Loisirs, culture et culte n.c.a.;2023;0,027830
LTU;Lituanie;GF0704;Services de santé publique;2023;0,048740
LTU;Lituanie;GF0705;RetD dans le domaine de la santé;2023;0,005310
LTU;Lituanie;GF09;Enseignement;2023;3,797910
LUX;Luxembourg;GF0204;R et D concernant la défense;2002;0,000000
LUX;Luxembourg;GF1008;RetD dans le domaine de la protection sociale;2002;0,000000
LUX;Luxembourg;GF0202;Défense civile;2002;0,000000
LUX;Luxembourg;GF0606;Logement et équipements collectifs n.c.a.;2002;0,000000
LUX;Luxembourg;GF1006;Logement;2002;0,000000
LUX;Luxembourg;GF0305;RetD concernant l'ordre et la sécurité publics;2002;0,000000
LUX;Luxembourg;GF0108;Transferts de caractère général entre administrations publiques;2002;0,000000
LUX;Luxembourg;GF0605;RetD dans le domaine du logement et des équipements collectifs;2002;0,000000
LUX;Luxembourg;GF0702;Services ambulatoires;2002;0,219240
LUX;Luxembourg;GF09;Enseignement;2002;1,153430
LUX;Luxembourg;GF1003;Survivants;2002;0,003580
LUX;Luxembourg;GF0805;RetD dans le domaine des loisirs, de la culture et du culte;2002;0,003420
LUX;Luxembourg;GF0906;Services annexes à l'enseignement;2002;0,068500
LUX;Luxembourg;GF0801;Services récréatifs et sportifs;2002;0,095280
LUX;Luxembourg;GF1009;Protection sociale n.c.a.;2002;0,023980
LUX;Luxembourg;GF0408;RetD concernant les affaires économiques;2002;0,048880
LUX;Luxembourg;GF0603;Alimentation en eau;2002;0,051000
LUX;Luxembourg;GF0205;Défense n.c.a.;2002;0,000010
LUX;Luxembourg;GF07;Santé;2002;1,242360
LUX;Luxembourg;GF0506;Protection de l'environnement n.c.a.;2002;0,009410
LUX;Luxembourg;GF0502;Gestion des eaux usées;2002;0,077460
LUX;Luxembourg;GF0303;Tribunaux;2002;0,055290
LUX;Luxembourg;GF0102;Aide économique extérieure;2002;0,141530
LUX;Luxembourg;GF0503;Lutte contre la pollution;2002;0,015650
LUX;Luxembourg;GF04;Affaires économiques;2002;1,552420
LUX;Luxembourg;GF1002;Vieillesse;2002;2,499330
LUX;Luxembourg;GF0905;Enseignement non défini par niveau;2002;0,075120
LUX;Luxembourg;GF0704;Services de santé publique;2002;0,007280
LUX;Luxembourg;GF0904;Enseignement supérieur;2002;0,025050
LUX;Luxembourg;GF0501;Gestion des déchets;2002;0,076230
LUX;Luxembourg;GF1007;Exclusion sociale n.c.a.;2002;0,130640
LUX;Luxembourg;GF1004;Famille et enfants;2002;0,833030
LUX;Luxembourg;GF0302;Services de protection civile;2002;0,020350
LUX;Luxembourg;GF0701;Produits, appareils et matériels médicaux;2002;0,421920
LUX;Luxembourg;GF0106;Services généraux des administrations publiques n.c.a.;2002;0,054090
LUX;Luxembourg;GF0201;Défense militaire;2002;0,058510
LUX;Luxembourg;GF0901;Enseignement préélémentaire et primaire;2002;0,455290
LUX;Luxembourg;GF0401;Tutelle de l'économie générale, des échanges et de l'emploi;2002;0,122130
LUX;Luxembourg;GF03;Ordre et sécurité publics;2002;0,255540
LUX;Luxembourg;GF0103;Services généraux;2002;0,339610
LUX;Luxembourg;GF06;Logement et développement collectif;2002;0,246810
LUX;Luxembourg;GF0908;Enseignement n.c.a.;2002;0,016650
LUX;Luxembourg;GF0804;Culte et autres services communautaires;2002;0,029750
LUX;Luxembourg;GF0306;Ordre et sécurité publics n.c.a.;2002;0,008950
LUX;Luxembourg;GF0105;RetD concernant des services généraux des administrations publiques;2002;0,000370
LUX;Luxembourg;GF0903;Enseignement postsecondaire non supérieur;2002;0,027560
LUX;Luxembourg;GF0705;RetD dans le domaine de la santé;2002;0,011470
LUX;Luxembourg;GF02;Défense nationale;2002;0,064420
LUX;Luxembourg;GF0405;Transports;2002;1,127470
LUX;Luxembourg;GF0406;Communications;2002;0,011100
LUX;Luxembourg;GF0601;Logements;2002;0,080960
LUX;Luxembourg;GF0706;Santé n.c.a.;2002;0,014580
LUX;Luxembourg;GF10;Sécurité sociale et oeuvres sociales;2002;4,114900
LUX;Luxembourg;GF0407;Autres branches d'activité;2002;0,028390
LUX;Luxembourg;GF0301;Services de police;2002;0,142180
LUX;Luxembourg;GF0504;Préservation de la diversité biologique et protection de la nature;2002;0,019550
LUX;Luxembourg;GF08;Loisirs, culture et cultes;2002;0,295550
LUX;Luxembourg;GF0409;Affaires économiques n.c.a.;2002;-0,011310
LUX;Luxembourg;GF0806;Loisirs, culture et culte n.c.a.;2002;0,017290
LUX;Luxembourg;GF0604;Éclairage public;2002;0,000040
LUX;Luxembourg;GF0107;Opérations concernant la dette publique;2002;0,105770
LUX;Luxembourg;GF0902;Enseignement secondaire;2002;0,479890
LUX;Luxembourg;GF0101;Organes exécutifs et législatifs, affaires finan., fiscales et étrangères;2002;0,677700
LUX;Luxembourg;GF0802;Services culturels;2002;0,126230
LUX;Luxembourg;GF0403;Combustibles et énergie;2002;0,055760
LUX;Luxembourg;GF0505;RetD dans le domaine de la protection de l'environnement;2002;0,000450
LUX;Luxembourg;GF1005;Chômage;2002;0,158040
LUX;Luxembourg;GF0304;Administration pénitentiaire;2002;0,028770
LUX;Luxembourg;GF0803;Services de radiodiffusion, de télévision et d'édition;2002;0,023570
LUX;Luxembourg;GF01;Services généraux des administrations publiques;2002;1,320460
LUX;Luxembourg;GF0104;Recherche fondamentale;2002;0,001380
LUX;Luxembourg;GF0203;Aide militaire à des pays étrangers;2002;0,005910
LUX;Luxembourg;GF0602;Équipements collectifs;2002;0,114820
LUX;Luxembourg;GF05;Protection de l'environnement;2002;0,198730
LUX;Luxembourg;GF0703;Services hospitaliers;2002;0,567880
LUX;Luxembourg;GF0404;Industries extractives et manufacturières, construction;2002;0,049440
LUX;Luxembourg;GF0402;Agriculture, sylviculture, pêche et chasse;2002;0,120560
LUX;Luxembourg;GF0907;RetD dans le domaine de l'enseignement;2002;0,005380
LUX;Luxembourg;GF1001;Maladie et invalidité;2002;0,466300
LUX;Luxembourg;GF1006;Logement;2003;0,000000
LUX;Luxembourg;GF0606;Logement et équipements collectifs n.c.a.;2003;0,000000
LUX;Luxembourg;GF0202;Défense civile;2003;0,000000
LUX;Luxembourg;GF1008;RetD dans le domaine de la protection sociale;2003;0,000000
LUX;Luxembourg;GF0205;Défense n.c.a.;2003;0,000000
LUX;Luxembourg;GF0405;Transports;2003;1,236300
LUX;Luxembourg;GF02;Défense nationale;2003;0,069380
LUX;Luxembourg;GF0705;RetD dans le domaine de la santé;2003;0,016160
LUX;Luxembourg;GF0903;Enseignement postsecondaire non supérieur;2003;0,030680
LUX;Luxembourg;GF0105;RetD concernant des services généraux des administrations publiques;2003;0,000450
LUX;Luxembourg;GF0306;Ordre et sécurité publics n.c.a.;2003;0,008480
LUX;Luxembourg;GF0804;Culte et autres services communautaires;2003;0,032710
LUX;Luxembourg;GF0908;Enseignement n.c.a.;2003;0,017890
LUX;Luxembourg;GF06;Logement et développement collectif;2003;0,203420
LUX;Luxembourg;GF0103;Services généraux;2003;0,346510
LUX;Luxembourg;GF03;Ordre et sécurité publics;2003;0,281210
LUX;Luxembourg;GF0401;Tutelle de l'économie générale, des échanges et de l'emploi;2003;0,089000
LUX;Luxembourg;GF0901;Enseignement préélémentaire et primaire;2003;0,498500
LUX;Luxembourg;GF0106;Services généraux des administrations publiques n.c.a.;2003;0,062780
LUX;Luxembourg;GF0201;Défense militaire;2003;0,064260
LUX;Luxembourg;GF0701;Produits, appareils et matériels médicaux;2003;0,436140
LUX;Luxembourg;GF1004;Famille et enfants;2003;0,893350
LUX;Luxembourg;GF0302;Services de protection civile;2003;0,022430
LUX;Luxembourg;GF1007;Exclusion sociale n.c.a.;2003;0,188310
LUX;Luxembourg;GF0501;Gestion des déchets;2003;0,075650
LUX;Luxembourg;GF0904;Enseignement supérieur;2003;0,037160
LUX;Luxembourg;GF0704;Services de santé publique;2003;0,004470
LUX;Luxembourg;GF1002;Vieillesse;2003;2,745480
LUX;Luxembourg;GF0905;Enseignement non défini par niveau;2003;0,079720
LUX;Luxembourg;GF04;Affaires économiques;2003;1,675930
LUX;Luxembourg;GF0503;Lutte contre la pollution;2003;0,017650
LUX;Luxembourg;GF0102;Aide économique extérieure;2003;0,157300
LUX;Luxembourg;GF0303;Tribunaux;2003;0,058640
LUX;Luxembourg;GF0506;Protection de l'environnement n.c.a.;2003;0,009970
LUX;Luxembourg;GF0502;Gestion des eaux usées;2003;0,089060
LUX;Luxembourg;GF07;Santé;2003;1,364330
LUX;Luxembourg;GF0603;Alimentation en eau;2003;0,044890
LUX;Luxembourg;GF0408;RetD concernant les affaires économiques;2003;0,063570
LUX;Luxembourg;GF0801;Services récréatifs et sportifs;2003;0,111850
LUX;Luxembourg;GF1009;Protection sociale n.c.a.;2003;0,026790
LUX;Luxembourg;GF0906;Services annexes à l'enseignement;2003;0,081350
LUX;Luxembourg;GF0805;RetD dans le domaine des loisirs, de la culture et du culte;2003;0,002330
LUX;Luxembourg;GF0204;R et D concernant la défense;2003;0,000000
LUX;Luxembourg;GF0108;Transferts de caractère général entre administrations publiques;2003;0,000000
LUX;Luxembourg;GF0305;RetD concernant l'ordre et la sécurité publics;2003;0,000000
LUX;Luxembourg;GF1003;Survivants;2003;0,003960
LUX;Luxembourg;GF09;Enseignement;2003;1,276920
LUX;Luxembourg;GF0702;Services ambulatoires;2003;0,241960
LUX;Luxembourg;GF0304;Administration pénitentiaire;2003;0,032710
LUX;Luxembourg;GF0505;RetD dans le domaine de la protection de l'environnement;2003;0,000420
LUX;Luxembourg;GF1005;Chômage;2003;0,200850
LUX;Luxembourg;GF0403;Combustibles et énergie;2003;0,057110
LUX;Luxembourg;GF0802;Services culturels;2003;0,159340
LUX;Luxembourg;GF0101;Organes exécutifs et législatifs, affaires finan., fiscales et étrangères;2003;0,721890
LUX;Luxembourg;GF0902;Enseignement secondaire;2003;0,525990
LUX;Luxembourg;GF0107;Opérations concernant la dette publique;2003;0,087580
LUX;Luxembourg;GF0604;Éclairage public;2003;0,000100
LUX;Luxembourg;GF0806;Loisirs, culture et culte n.c.a.;2003;0,016210
LUX;Luxembourg;GF0409;Affaires économiques n.c.a.;2003;0,001880
LUX;Luxembourg;GF0605;RetD dans le domaine du logement et des équipements collectifs;2003;0,000010
LUX;Luxembourg;GF08;Loisirs, culture et cultes;2003;0,351240
LUX;Luxembourg;GF0504;Préservation de la diversité biologique et protection de la nature;2003;0,020890
LUX;Luxembourg;GF0407;Autres branches d'activité;2003;0,035150
LUX;Luxembourg;GF0301;Services de police;2003;0,158940
LUX;Luxembourg;GF10;Sécurité sociale et oeuvres sociales;2003;4,547540
LUX;Luxembourg;GF0706;Santé n.c.a.;2003;0,015120
LUX;Luxembourg;GF0406;Communications;2003;0,011610
LUX;Luxembourg;GF0601;Logements;2003;0,077050
LUX;Luxembourg;GF0404;Industries extractives et manufacturières, construction;2003;0,039110
LUX;Luxembourg;GF0402;Agriculture, sylviculture, pêche et chasse;2003;0,142200
LUX;Luxembourg;GF0907;RetD dans le domaine de l'enseignement;2003;0,005640
LUX;Luxembourg;GF1001;Maladie et invalidité;2003;0,488810
LUX;Luxembourg;GF0703;Services hospitaliers;2003;0,650490
LUX;Luxembourg;GF0203;Aide militaire à des pays étrangers;2003;0,005130
LUX;Luxembourg;GF0104;Recherche fondamentale;2003;0,006170
LUX;Luxembourg;GF0803;Services de radiodiffusion, de télévision et d'édition;2003;0,028800
LUX;Luxembourg;GF01;Services généraux des administrations publiques;2003;1,382680
LUX;Luxembourg;GF0602;Équipements collectifs;2003;0,081370
LUX;Luxembourg;GF05;Protection de l'environnement;2003;0,213640
LUX;Luxembourg;GF0204;R et D concernant la défense;2004;0,000000
LUX;Luxembourg;GF1008;RetD dans le domaine de la protection sociale;2004;0,000000
LUX;Luxembourg;GF0202;Défense civile;2004;0,000000
LUX;Luxembourg;GF0606;Logement et équipements collectifs n.c.a.;2004;0,000000
LUX;Luxembourg;GF1006;Logement;2004;0,000000
LUX;Luxembourg;GF0305;RetD concernant l'ordre et la sécurité publics;2004;0,000000
LUX;Luxembourg;GF0108;Transferts de caractère général entre administrations publiques;2004;0,000000
LUX;Luxembourg;GF0702;Services ambulatoires;2004;0,263950
LUX;Luxembourg;GF09;Enseignement;2004;1,382630
LUX;Luxembourg;GF1003;Survivants;2004;0,003660
LUX;Luxembourg;GF0805;RetD dans le domaine des loisirs, de la culture et du culte;2004;0,001700
LUX;Luxembourg;GF0906;Services annexes à l'enseignement;2004;0,136540
LUX;Luxembourg;GF0801;Services récréatifs et sportifs;2004;0,116380
LUX;Luxembourg;GF1009;Protection sociale n.c.a.;2004;0,026290
LUX;Luxembourg;GF0408;RetD concernant les affaires économiques;2004;0,085400
LUX;Luxembourg;GF0603;Alimentation en eau;2004;0,043470
LUX;Luxembourg;GF0205;Défense n.c.a.;2004;0,000010
LUX;Luxembourg;GF07;Santé;2004;1,524280
LUX;Luxembourg;GF0506;Protection de l'environnement n.c.a.;2004;0,010470
LUX;Luxembourg;GF0502;Gestion des eaux usées;2004;0,077670
LUX;Luxembourg;GF0303;Tribunaux;2004;0,059550
LUX;Luxembourg;GF0102;Aide économique extérieure;2004;0,160560
LUX;Luxembourg;GF0503;Lutte contre la pollution;2004;0,017210
LUX;Luxembourg;GF04;Affaires économiques;2004;1,852380
LUX;Luxembourg;GF1002;Vieillesse;2004;2,910070
LUX;Luxembourg;GF0905;Enseignement non défini par niveau;2004;0,094900
LUX;Luxembourg;GF0704;Services de santé publique;2004;0,004030
LUX;Luxembourg;GF0904;Enseignement supérieur;2004;0,041950
LUX;Luxembourg;GF0501;Gestion des déchets;2004;0,080240
LUX;Luxembourg;GF1007;Exclusion sociale n.c.a.;2004;0,198180
LUX;Luxembourg;GF1004;Famille et enfants;2004;0,925390
LUX;Luxembourg;GF0302;Services de protection civile;2004;0,023630
LUX;Luxembourg;GF0701;Produits, appareils et matériels médicaux;2004;0,466780
LUX;Luxembourg;GF0106;Services généraux des administrations publiques n.c.a.;2004;0,068920
LUX;Luxembourg;GF0201;Défense militaire;2004;0,067210
LUX;Luxembourg;GF0901;Enseignement préélémentaire et primaire;2004;0,542770
LUX;Luxembourg;GF0401;Tutelle de l'économie générale, des échanges et de l'emploi;2004;0,106580
LUX;Luxembourg;GF03;Ordre et sécurité publics;2004;0,303100
LUX;Luxembourg;GF0103;Services généraux;2004;0,325060
LUX;Luxembourg;GF06;Logement et développement collectif;2004;0,201390
LUX;Luxembourg;GF0908;Enseignement n.c.a.;2004;0,018240
LUX;Luxembourg;GF0804;Culte et autres services communautaires;2004;0,034490
LUX;Luxembourg;GF0306;Ordre et sécurité publics n.c.a.;2004;0,008770
LUX;Luxembourg;GF0105;RetD concernant des services généraux des administrations publiques;2004;0,000470
LUX;Luxembourg;GF0903;Enseignement postsecondaire non supérieur;2004;0,024090
LUX;Luxembourg;GF0705;RetD dans le domaine de la santé;2004;0,022630
LUX;Luxembourg;GF02;Défense nationale;2004;0,073120
LUX;Luxembourg;GF0405;Transports;2004;1,375680
LUX;Luxembourg;GF0406;Communications;2004;0,013130
LUX;Luxembourg;GF0601;Logements;2004;0,083700
LUX;Luxembourg;GF0706;Santé n.c.a.;2004;0,016910
LUX;Luxembourg;GF10;Sécurité sociale et oeuvres sociales;2004;4,832370
LUX;Luxembourg;GF0407;Autres branches d'activité;2004;0,032620
LUX;Luxembourg;GF0301;Services de police;2004;0,173060
LUX;Luxembourg;GF0504;Préservation de la diversité biologique et protection de la nature;2004;0,021130
LUX;Luxembourg;GF08;Loisirs, culture et cultes;2004;0,375130
LUX;Luxembourg;GF0605;RetD dans le domaine du logement et des équipements collectifs;2004;0,000010
LUX;Luxembourg;GF0409;Affaires économiques n.c.a.;2004;0,002210
LUX;Luxembourg;GF0806;Loisirs, culture et culte n.c.a.;2004;0,017970
LUX;Luxembourg;GF0604;Éclairage public;2004;0,000100
LUX;Luxembourg;GF0107;Opérations concernant la dette publique;2004;0,070230
LUX;Luxembourg;GF0902;Enseignement secondaire;2004;0,518160
LUX;Luxembourg;GF0101;Organes exécutifs et législatifs, affaires finan., fiscales et étrangères;2004;0,923670
LUX;Luxembourg;GF0802;Services culturels;2004;0,178260
LUX;Luxembourg;GF0403;Combustibles et énergie;2004;0,072660
LUX;Luxembourg;GF0505;RetD dans le domaine de la protection de l'environnement;2004;0,000400
LUX;Luxembourg;GF1005;Chômage;2004;0,235960
LUX;Luxembourg;GF0304;Administration pénitentiaire;2004;0,038090
LUX;Luxembourg;GF0803;Services de radiodiffusion, de télévision et d'édition;2004;0,026320
LUX;Luxembourg;GF01;Services généraux des administrations publiques;2004;1,560420
LUX;Luxembourg;GF0104;Recherche fondamentale;2004;0,011500
LUX;Luxembourg;GF0203;Aide militaire à des pays étrangers;2004;0,005900
LUX;Luxembourg;GF0602;Équipements collectifs;2004;0,074110
LUX;Luxembourg;GF05;Protection de l'environnement;2004;0,207130
LUX;Luxembourg;GF0703;Services hospitaliers;2004;0,749980
LUX;Luxembourg;GF0404;Industries extractives et manufacturières, construction;2004;0,022430
LUX;Luxembourg;GF0402;Agriculture, sylviculture, pêche et chasse;2004;0,141670
LUX;Luxembourg;GF0907;RetD dans le domaine de l'enseignement;2004;0,006000
LUX;Luxembourg;GF1001;Maladie et invalidité;2004;0,532820
LUX;Luxembourg;GF0305;RetD concernant l'ordre et la sécurité publics;2005;0,000000
LUX;Luxembourg;GF0108;Transferts de caractère général entre administrations publiques;2005;0,000000
LUX;Luxembourg;GF0204;R et D concernant la défense;2005;0,000000
LUX;Luxembourg;GF0205;Défense n.c.a.;2005;0,000000
LUX;Luxembourg;GF1008;RetD dans le domaine de la protection sociale;2005;0,000000
LUX;Luxembourg;GF0202;Défense civile;2005;0,000000
LUX;Luxembourg;GF0606;Logement et équipements collectifs n.c.a.;2005;0,000000
LUX;Luxembourg;GF1006;Logement;2005;0,000000
LUX;Luxembourg;GF05;Protection de l'environnement;2005;0,242260
LUX;Luxembourg;GF0602;Équipements collectifs;2005;0,073970
LUX;Luxembourg;GF0803;Services de radiodiffusion, de télévision et d'édition;2005;0,029220
LUX;Luxembourg;GF01;Services généraux des administrations publiques;2005;1,694530
LUX;Luxembourg;GF0104;Recherche fondamentale;2005;0,014360
LUX;Luxembourg;GF0203;Aide militaire à des pays étrangers;2005;0,006460
LUX;Luxembourg;GF0703;Services hospitaliers;2005;0,761630
LUX;Luxembourg;GF1001;Maladie et invalidité;2005;0,565840
LUX;Luxembourg;GF0404;Industries extractives et manufacturières, construction;2005;0,020270
LUX;Luxembourg;GF0402;Agriculture, sylviculture, pêche et chasse;2005;0,134370
LUX;Luxembourg;GF0907;RetD dans le domaine de l'enseignement;2005;0,006780
LUX;Luxembourg;GF0406;Communications;2005;0,014250
LUX;Luxembourg;GF0601;Logements;2005;0,082520
LUX;Luxembourg;GF0706;Santé n.c.a.;2005;0,017300
LUX;Luxembourg;GF10;Sécurité sociale et oeuvres sociales;2005;5,196770
LUX;Luxembourg;GF0407;Autres branches d'activité;2005;0,030470
LUX;Luxembourg;GF0301;Services de police;2005;0,175670
LUX;Luxembourg;GF0504;Préservation de la diversité biologique et protection de la nature;2005;0,024400
LUX;Luxembourg;GF08;Loisirs, culture et cultes;2005;0,404020
LUX;Luxembourg;GF0605;RetD dans le domaine du logement et des équipements collectifs;2005;0,000010
LUX;Luxembourg;GF0409;Affaires économiques n.c.a.;2005;0,003970
LUX;Luxembourg;GF0806;Loisirs, culture et culte n.c.a.;2005;0,018380
LUX;Luxembourg;GF0604;Éclairage public;2005;0,000090
LUX;Luxembourg;GF0107;Opérations concernant la dette publique;2005;0,078050
LUX;Luxembourg;GF0902;Enseignement secondaire;2005;0,550500
LUX;Luxembourg;GF0101;Organes exécutifs et législatifs, affaires finan., fiscales et étrangères;2005;0,840450
LUX;Luxembourg;GF0802;Services culturels;2005;0,204340
LUX;Luxembourg;GF0403;Combustibles et énergie;2005;0,078990
LUX;Luxembourg;GF0505;RetD dans le domaine de la protection de l'environnement;2005;0,000440
LUX;Luxembourg;GF1005;Chômage;2005;0,262050
LUX;Luxembourg;GF0304;Administration pénitentiaire;2005;0,043910
LUX;Luxembourg;GF0702;Services ambulatoires;2005;0,289090
LUX;Luxembourg;GF09;Enseignement;2005;1,470030
LUX;Luxembourg;GF1003;Survivants;2005;0,004500
LUX;Luxembourg;GF0805;RetD dans le domaine des loisirs, de la culture et du culte;2005;0,001820
LUX;Luxembourg;GF0906;Services annexes à l'enseignement;2005;0,142920
